code_geo,annee,taux_faible_diplome
59371,2016,67.84
59371,2022,71.52
59372,2016,51.19
59372,2022,52.05
59374,2016,56.38
59374,2022,52.73
59375,2016,57.96
59375,2022,56.53
59377,2016,49.33
59377,2022,48.46
59378,2016,72.16
59378,2022,73.42
59379,2016,51.63
59379,2022,53.95
59381,2016,56.7
59381,2022,57.66
59382,2016,54.46
59382,2022,49.85
59383,2016,56.02
59383,2022,53.83
59384,2016,56.71
59384,2022,52.0
59385,2016,49.88
59385,2022,45.53
59386,2016,62.26
59386,2022,63.99
59387,2016,54.08
59387,2022,51.25
59388,2016,61.34
59388,2022,62.89
59389,2016,50.7
59389,2022,48.13
59390,2016,52.34
59390,2022,50.7
59391,2016,49.93
59391,2022,47.19
59392,2016,57.84
59392,2022,56.69
59393,2016,56.91
59393,2022,59.86
59394,2016,53.62
59394,2022,50.95
59395,2016,58.59
59395,2022,54.93
59396,2016,55.24
59396,2022,57.98
59397,2016,48.39
59397,2022,47.25
59398,2016,68.35
59398,2022,69.91
59399,2016,57.7
59399,2022,60.48
59400,2016,52.54
59400,2022,49.62
59401,2016,57.36
59401,2022,59.11
59402,2016,53.09
59402,2022,48.86
59403,2016,51.34
59403,2022,52.37
59405,2016,53.7
59405,2022,52.92
59406,2016,52.66
59406,2022,51.85
59407,2016,58.72
59407,2022,52.94
59408,2016,58.56
59408,2022,61.26
59409,2016,53.29
59409,2022,46.66
59410,2016,64.46
59410,2022,66.8
59411,2016,62.47
59411,2022,62.84
59412,2016,54.24
59412,2022,46.47
59413,2016,57.63
59413,2022,53.79
59414,2016,54.69
59414,2022,53.2
59415,2016,52.73
59415,2022,47.83
59416,2016,56.23
59416,2022,54.07
59418,2016,62.85
59418,2022,57.62
59419,2016,57.01
59419,2022,62.74
59420,2016,66.66
59420,2022,67.35
59421,2016,69.2
59421,2022,70.4
59422,2016,54.91
59422,2022,55.29
59423,2016,53.09
59423,2022,50.35
59424,2016,48.19
59424,2022,49.38
59425,2016,54.16
59425,2022,56.55
59426,2016,56.3
59426,2022,58.14
59427,2016,60.37
59427,2022,66.0
59428,2016,57.16
59428,2022,54.01
59429,2016,51.75
59429,2022,48.5
59430,2016,52.46
59430,2022,49.55
59431,2016,56.61
59431,2022,58.47
59432,2016,53.71
59432,2022,51.98
59433,2016,52.64
59433,2022,48.09
59434,2016,60.33
59434,2022,56.63
59435,2016,58.89
59435,2022,61.58
59436,2016,51.91
59436,2022,54.66
59437,2016,62.71
59437,2022,64.23
59438,2016,48.95
59438,2022,50.43
59439,2016,52.1
59439,2022,44.89
59440,2016,46.36
59440,2022,46.96
59441,2016,55.04
59441,2022,52.78
59442,2016,51.28
59442,2022,52.82
59443,2016,59.0
59443,2022,54.06
59444,2016,57.8
59444,2022,55.01
59445,2016,54.91
59445,2022,53.01
59446,2016,56.68
59446,2022,55.84
59447,2016,50.75
59447,2022,51.13
59448,2016,47.38
59448,2022,49.57
59449,2016,58.76
59449,2022,58.41
59450,2016,48.6
