code_geo,libelle_commune,revenu_median,annee
59304,Herrin,25046,2016
59305,Herzeele,21264,2016
59306,Hestrud,18411,2016
59307,Holque,18893,2016
59308,Hondeghem,23162,2016
59309,Hondschoote,19022,2016
59310,Hon-Hergies,23763,2016
59311,Honnechy,16590,2016
59312,Honnecourt-sur-Escaut,18854,2016
59313,Hordain,20089,2016
59314,Hornaing,18107,2016
59315,Houdain-lez-Bavay,20781,2016
59316,Houplin-Ancoisne,22997,2016
59317,Houplines,20012,2016
59318,Houtkerque,21300,2016
59319,Hoymille,22625,2016
59320,Illies,21733,2016
59321,Inchy,17145,2016
59322,Iwuy,17647,2016
59323,Jenlain,24472,2016
59324,Jeumont,15578,2016
59325,Jolimetz,23588,2016
59326,Killem,18977,2016
59327,Lallaing,16879,2016
59328,Lambersart,25080,2016
59329,Lambres-lez-Douai,20642,2016
59330,Landas,24021,2016
59331,Landrecies,16587,2016
59332,Lannoy,17717,2016
59333,Larouillies,19678,2016
59334,Lauwin-Planque,21890,2016
59335,Lecelles,23588,2016
59336,Lécluse,18526,2016
59337,Lederzeele,20251,2016
59338,Ledringhem,22848,2016
59339,Leers,22309,2016
59340,Leffrinckoucke,21099,2016
59341,Lesdain,20305,2016
59342,Lez-Fontaine,22106,2016
59343,Lesquin,23044,2016
59344,Leval,17558,2016
59345,Lewarde,18598,2016
59346,Lezennes,23664,2016
59347,Liessies,20389,2016
59348,Lieu-Saint-Amand,20811,2016
59349,Ligny-en-Cambrésis,18542,2016
59350,Lille,18424,2016
59351,Limont-Fontaine,19502,2016
59352,Linselles,22802,2016
59353,Locquignol,20665,2016
59354,Loffre,25217,2016
59356,Lompret,31042,2016
59357,La Longueville,20765,2016
59358,Looberghe,20366,2016
59359,Loon-Plage,19096,2016
59360,Loos,17863,2016
59361,Lourches,13708,2016
59363,Louvignies-Quesnoy,21205,2016
59364,Louvil,29563,2016
59365,Louvroil,13650,2016
59366,Lynde,22205,2016
59367,Lys-lez-Lannoy,20048,2016
59368,La Madeleine,22479,2016
59369,Maing,20629,2016
59370,Mairieux,23563,2016
59371,Le Maisnil,29352,2016
59372,Malincourt,19590,2016
59374,Marbaix,20549,2016
59375,Marchiennes,21159,2016
59377,Marcoing,20194,2016
59378,Marcq-en-Baroeul,26110,2016
59379,Marcq-en-Ostrevent,20737,2016
59381,Maresches,22237,2016
59382,Maretz,16359,2016
59383,Marly,17851,2016
59384,Maroilles,18735,2016
59385,Marpent,17457,2016
59386,Marquette-lez-Lille,22099,2016
59387,Marquette-en-Ostrevant,18757,2016
59388,Marquillies,23975,2016
59389,Masnières,18409,2016
59390,Masny,16362,2016
59391,Mastaing,21217,2016
59392,Maubeuge,14920,2016
59393,Maulde,21069,2016
59394,Maurois,17707,2016
59395,Mazinghien,19410,2016
59396,Mecquignies,21739,2016
59397,Merckeghem,22474,2016
59398,Mérignies,32015,2016
59399,Merris,23385,2016
59400,Merville,18437,2016
59401,Méteren,22408,2016
59402,Millam,20911,2016
59403,Millonfosse,22864,2016
59405,Moeuvres,19322,2016
59406,Monceau-Saint-Waast,21159,2016
59407,Monchaux-sur-Écaillon,24192,2016
59408,Moncheaux,24740,2016
59409,Monchecourt,18564,2016
59410,Mons-en-Baroeul,17438,2016
59411,Mons-en-Pévèle,25197,2016
59412,Montay,17661,2016
59413,Montigny-en-Cambrésis,19791,2016
59414,Montigny-en-Ostrevent,17638,2016
59415,Montrécourt,22173,2016
59416,Morbecque,21652,2016
59418,Mortagne-du-Nord,17280,2016
59419,Mouchin,25207,2016
59420,Moustier-en-Fagne,,2016
59421,Mouvaux,25906,2016
59422,Naves,20325,2016
59423,Neuf-Berquin,21246,2016
59424,Neuf-Mesnil,17096,2016
59425,Neuville-en-Avesnois,23291,2016
59426,Neuville-en-Ferrain,22743,2016
59427,La Neuville,26524,2016
59428,Neuville-Saint-Rémy,18193,2016
59429,Neuville-sur-Escaut,18006,2016
59430,Neuvilly,17284,2016
59431,Nieppe,21279,2016
59432,Niergnies,23342,2016
59433,Nieurlet,17470,2016
59434,Nivelle,23651,2016
