code_geo,libelle_commune,revenu_median,annee
59277,Gussignies,25410,2021
59278,Hallennes-lez-Haubourdin,24380,2021
59279,Halluin,21590,2021
59280,Hamel,23250,2021
59281,Hantay,24950,2021
59282,Hardifort,24110,2021
59283,Hargnies,25580,2021
59284,Hasnon,23710,2021
59285,Haspres,21260,2021
59286,Haubourdin,21490,2021
59287,Haucourt-en-Cambrésis,20800,2021
59288,Haulchin,20680,2021
59289,Haussy,20820,2021
59290,Haut-Lieu,23400,2021
59291,Hautmont,16280,2021
59292,Haveluy,17350,2021
59293,Haverskerque,23500,2021
59294,Haynecourt,23030,2021
59295,Hazebrouck,21160,2021
59296,Hecq,23060,2021
59297,Hélesmes,22690,2021
59299,Hem,23140,2021
59300,Hem-Lenglet,22510,2021
59301,Hergnies,21860,2021
59302,Hérin,19930,2021
59303,Herlies,27360,2021
59304,Herrin,27820,2021
59305,Herzeele,23390,2021
59306,Hestrud,21660,2021
59307,Holque,20870,2021
59308,Hoeghem,26110,2021
59309,Hoschoote,20980,2021
59310,Hon-Hergies,26090,2021
59311,Honnechy,18450,2021
59312,Honnecourt-sur-Escaut,20490,2021
59313,Hordain,22280,2021
59314,Hornaing,20420,2021
59315,Houdain-lez-Bavay,23570,2021
59316,Houplin-Ancoisne,25620,2021
59317,Houplines,22140,2021
59318,Houtkerque,23780,2021
59319,Hoymille,24610,2021
59320,Illies,24770,2021
59321,Inchy,19440,2021
59322,Iwuy,19850,2021
59323,Jenlain,27150,2021
59324,Jeumont,16910,2021
59325,Jolimetz,25130,2021
59326,Killem,21610,2021
59327,Lallaing,18880,2021
59328,Lambersart,28160,2021
59329,Lambres-lez-Douai,22820,2021
59330,Laas,27410,2021
59331,Larecies,18240,2021
59332,Lannoy,19710,2021
59333,Larouillies,21330,2021
59334,Lauwin-Planque,24310,2021
59335,Lecelles,26640,2021
59336,Lécluse,20850,2021
59337,Lederzeele,23400,2021
59338,Ledringhem,25300,2021
59339,Leers,24390,2021
59340,Leffrinckoucke,23390,2021
59341,Lesdain,23150,2021
59342,Lez-Fontaine,23880,2021
59343,Lesquin,25570,2021
59344,Leval,19140,2021
59345,Lewarde,21020,2021
59346,Lezennes,25880,2021
59347,Liessies,23010,2021
59348,Lieu-Saint-Ama,22450,2021
59349,Ligny-en-Cambrésis,20900,2021
59350,Lille,20520,2021
59351,Limont-Fontaine,22650,2021
59352,Linselles,25380,2021
59353,Locquignol,22170,2021
59354,Loffre,27100,2021
59356,Lompret,34540,2021
59357,La Longueville,22690,2021
59358,Looberghe,22480,2021
59359,Loon-Plage,21880,2021
59360,Loos,19610,2021
59361,Lourches,15820,2021
59363,Louvignies-Quesnoy,23670,2021
59364,Louvil,31920,2021
59365,Louvroil,15180,2021
59366,Lye,23860,2021
59367,Lys-lez-Lannoy,22400,2021
59368,La Madeleine,25270,2021
59369,Maing,22970,2021
59370,Mairieux,26820,2021
59371,Le Maisnil,34170,2021
59372,Malincourt,21670,2021
59374,Marbaix,24640,2021
59375,Marchiennes,23590,2021
59377,Marcoing,21630,2021
59378,Marcq-en-Barœul,29490,2021
59379,Marcq-en-Ostrevent,23170,2021
59381,Maresches,25190,2021
59382,Maretz,19200,2021
59383,Marly,19710,2021
59384,Maroilles,21600,2021
59385,Marpent,19210,2021
59386,Marquette-lez-Lille,24500,2021
59387,Marquette-en-Ostrevant,20460,2021
59388,Marquillies,26720,2021
59389,Masnières,20050,2021
59390,Masny,18430,2021
59391,Mastaing,22940,2021
59392,Maubeuge,16320,2021
59393,Maulde,23520,2021
59394,Maurois,20410,2021
59395,Mazinghien,21880,2021
59396,Mecquignies,24280,2021
59397,Merckeghem,24660,2021
59398,Mérignies,35880,2021
59399,Merris,25220,2021
59400,Merville,20840,2021
59401,Méteren,25250,2021
59402,Millam,23660,2021
59403,Millonfosse,24230,2021
59405,Mœuvres,21360,2021
59406,Monceau-Saint-Waast,23950,2021
59407,Monchaux-sur-Écaillon,26700,2021
59408,Moncheaux,27510,2021
59409,Monchecourt,20250,2021
59410,Mons-en-Barœul,19570,2021
59411,Mons-en-Pévèle,28460,2021
59412,Montay,19720,2021
59413,Montigny-en-Cambrésis,21320,2021
59414,Montigny-en-Ostrevent,19710,2021
59415,Montrécourt,24200,2021
59416,Morbecque,23830,2021
59418,Mortagne-du-Nord,19330,2021
59419,Mouchin,28110,2021
59420,Moustier-en-Fagne,,2021
59421,Mouvaux,29430,2021
59422,Naves,24380,2021
59423,Neuf-Berquin,22950,2021
59424,Neuf-Mesnil,18560,2021
59425,Neuville-en-Avesnois,23800,2021
59426,Neuville-en-Ferrain,25120,2021
59427,La Neuville,28610,2021
59428,Neuville-Saint-Rémy,20080,2021
59429,Neuville-sur-Escaut,19910,2021
59430,Neuvilly,20470,2021
59431,Nieppe,23470,2021
59432,Niergnies,25440,2021
59433,Nieurlet,20600,2021
59434,Nivelle,26210,2021
59435,Nomain,27050,2021
59436,Noordpeene,22780,2021
59437,Noyelles-lès-Seclin,28500,2021
59438,Noyelles-sur-Escaut,22240,2021
59439,Noyelles-sur-Sambre,22270,2021
59440,Noyelles-sur-Selle,21510,2021
59441,Obies,24980,2021
59442,Obrechies,26620,2021
59443,Ochtezeele,24630,2021
59444,Odomez,20750,2021
59445,Ohain,20620,2021
59446,Oisy,27020,2021
59447,Onnaing,19050,2021
59448,Oost-Cappel,20510,2021
59449,Orchies,22160,2021
59450,Ors,21720,2021
59451,Orsinval,27470,2021
59452,Ostricourt,19000,2021
59453,Oudezeele,23670,2021
59454,Oxelaëre,22760,2021
59455,Paillencourt,22290,2021
59456,Pecquencourt,18230,2021
59457,Pérenchies,23810,2021
59458,Péronne-en-Mélantois,30020,2021
59459,Petite-Forêt,21250,2021
59461,Petit-Fayt,22170,2021
59462,Phalempin,26850,2021
59463,Pitgam,22980,2021
59464,Poix-du-Nord,18860,2021
59465,Pommereuil,21110,2021
59466,Pont-à-Marcq,25610,2021
59467,Pont-sur-Sambre,20670,2021
59468,Potelle,27370,2021
