code_geo,annee,nb_faits_total,population_insee,nb_indicateurs,taux_delinquance
59650,2022,2110.0,40881.0,13,51.61
59651,2022,13.0,1606.0,6,8.09
59652,2022,0.0,432.0,5,0.0
59653,2022,293.0,7777.0,11,37.68
59654,2022,339.0,7312.0,10,46.36
59655,2022,0.0,229.0,9,0.0
59656,2022,125.0,5446.0,8,22.95
59657,2022,0.0,640.0,7,0.0
59658,2022,0.0,562.0,6,0.0
59659,2022,71.0,2813.0,6,25.24
59660,2022,74.0,2969.0,6,24.92
59661,2022,0.0,128.0,8,0.0
59662,2022,0.0,1280.0,6,0.0
59663,2022,137.0,5645.0,7,24.27
59664,2022,0.0,332.0,7,0.0
59665,2022,0.0,301.0,9,0.0
59666,2022,0.0,1549.0,7,0.0
59667,2022,0.0,245.0,11,0.0
59668,2022,9.0,1608.0,4,5.6
59669,2022,0.0,542.0,8,0.0
59670,2022,5.0,1401.0,3,3.57
