code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59029,00029,Auchy-lez-Orchies,2017,1030,112,918,900,10.87,FILLON,LE PEN,MACRON,MÉLENCHON,DUPONT-AIGNAN,29.78,23.11,20.11,14.33,6.22,DROITE,DROITE,CENTRE,GAUCHE,DROITE,20.11,1.67,59.11,19.11,6.8,24980.0,60.63,16.32,25.0,1486,1506,DROITE,0,FILLON
59031,00031,Audignies,2017,298,57,241,238,19.13,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,39.92,23.95,14.71,14.71,2.52,DROITE,DROITE,CENTRE,GAUCHE,DROITE,14.71,1.26,66.39,17.65,2.5,23086.0,54.62,0.0,0.0,369,375,DROITE,0,LE PEN
59032,00032,Aulnoy-lez-Valenciennes,2017,4741,1130,3611,3520,23.83,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,34.01,22.67,18.66,11.05,5.99,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,18.66,1.28,49.46,30.6,19.65,17953.0,54.93,48.52,355.0,7183,7252,DROITE,0,LE PEN
59033,00033,Aulnoye-Aymeries,2017,6691,2019,4672,4540,30.17,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,33.74,31.54,14.05,8.99,4.38,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,14.05,1.54,46.23,38.17,26.66,16545.0,48.99,39.18,347.0,8756,8994,DROITE,0,LE PEN
59034,00034,Avelin,2017,2182,344,1838,1808,15.77,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,28.98,25.11,21.63,10.95,6.03,DROITE,CENTRE,DROITE,GAUCHE,DROITE,25.11,1.0,56.64,17.26,7.17,27384.0,62.56,23.3,63.0,2600,2642,DROITE,0,FILLON
59035,00035,Avesnelles,2017,1949,507,1442,1417,26.01,LE PEN,MÉLENCHON,FILLON,MACRON,DUPONT-AIGNAN,31.9,20.04,19.41,14.89,7.2,DROITE,GAUCHE,DROITE,CENTRE,DROITE,14.89,1.41,58.5,25.19,19.76,18500.0,57.71,19.23,48.0,2280,2326,DROITE,0,LE PEN
59036,00036,Avesnes-sur-Helpe,2017,2996,1026,1970,1931,34.25,LE PEN,MÉLENCHON,FILLON,MACRON,HAMON,29.26,22.58,20.15,14.4,5.08,DROITE,GAUCHE,DROITE,CENTRE,GAUCHE,14.4,1.5,53.86,30.24,35.22,14204.0,61.21,52.0,242.0,4118,4254,DROITE,0,LE PEN
59037,00037,Avesnes-les-Aubert,2017,2630,509,2121,2088,19.35,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,40.52,27.97,12.21,7.85,4.69,DROITE,GAUCHE,CENTRE,DROITE,DROITE,12.21,0.81,53.07,33.91,22.52,17599.0,52.16,34.12,124.0,3606,3647,DROITE,0,LE PEN
59038,00038,Avesnes-le-Sec,2017,1064,159,905,889,14.94,LE PEN,MÉLENCHON,FILLON,MACRON,DUPONT-AIGNAN,40.16,22.16,15.52,14.17,4.61,DROITE,GAUCHE,DROITE,CENTRE,DROITE,14.17,0.56,60.29,24.97,14.0,20382.0,50.24,0.0,0.0,1447,1465,DROITE,0,LE PEN
59039,00039,Awoingt,2017,619,116,503,490,18.74,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,29.59,25.1,16.73,16.53,5.71,DROITE,CENTRE,DROITE,GAUCHE,DROITE,25.1,1.43,52.04,21.43,9.89,22664.0,57.21,0.0,0.0,790,814,DROITE,0,LE PEN
59041,00041,Bachant,2017,1823,460,1363,1313,25.23,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,40.97,26.73,12.11,7.92,4.57,DROITE,GAUCHE,CENTRE,DROITE,DROITE,12.11,0.91,53.47,33.51,22.2,17569.0,47.58,18.85,44.0,2258,2274,DROITE,0,LE PEN
59042,00042,Bachy,2017,1203,128,1075,1056,10.64,MACRON,FILLON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,26.89,23.39,21.5,14.3,6.16,CENTRE,DROITE,DROITE,GAUCHE,DROITE,26.89,1.23,51.04,20.83,8.43,24915.0,61.97,6.51,11.0,1883,1915,CENTRE,1,MACRON
59043,00043,Bailleul,2017,10878,1933,8945,8709,17.77,LE PEN,MACRON,MÉLENCHON,FILLON,HAMON,29.02,20.53,18.2,17.4,5.8,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,20.53,1.72,51.62,26.12,13.19,20994.0,57.6,36.43,527.0,14869,15098,DROITE,0,LE PEN
