code_commune,commune,candidat,nb_votes,2017_votes,2017_target,2022_votes,2022_target,inscrits,abstentions,votants,exprimes,pct_abstention,pct_CENTRE,pct_DROITE,pct_GAUCHE,pct_DIVERS,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,Tg
545,Saint-Souplet,MÉLENCHON,114,15.49,0,16.47,0,944,193,751,736,20.44,13.18,65.08,20.38,1.36,23.15,17142.0,51.36,9.73,12.0,1233,1250,0
546,Saint-Sylvestre-Cappel,LE PEN,250,31.61,1,32.51,1,934,118,816,791,12.63,17.57,59.17,21.49,1.77,10.18,21373.0,53.35,0.0,0.0,1171,1180,1
546,Saint-Sylvestre-Cappel,FILLON,176,22.25,0,29.79,0,934,118,816,791,12.63,17.57,59.17,21.49,1.77,10.18,21373.0,53.35,0.0,0.0,1171,1180,0
547,Saint-Vaast-en-Cambrésis,LE PEN,186,36.98,1,44.78,1,640,120,520,503,18.75,15.71,52.29,30.22,1.79,15.51,18743.0,58.23,0.0,0.0,906,914,1
547,Saint-Vaast-en-Cambrésis,MÉLENCHON,124,24.65,0,16.87,0,640,120,520,503,18.75,15.71,52.29,30.22,1.79,15.51,18743.0,58.23,0.0,0.0,906,914,0
548,Saint-Waast,LE PEN,138,34.76,1,35.1,1,481,74,407,397,15.38,16.37,58.44,23.17,2.02,3.33,21404.0,54.13,0.0,0.0,630,639,1
548,Saint-Waast,MÉLENCHON,76,19.14,0,22.73,0,481,74,407,397,15.38,16.37,58.44,23.17,2.02,3.33,21404.0,54.13,0.0,0.0,630,639,0
549,Salesches,LE PEN,57,27.27,1,36.0,1,260,49,211,209,18.85,14.35,52.63,30.14,2.87,15.63,19656.0,52.56,0.0,0.0,291,293,1
549,Salesches,FILLON,49,23.44,0,24.57,0,260,49,211,209,18.85,14.35,52.63,30.14,2.87,15.63,19656.0,52.56,0.0,0.0,291,293,0
550,Salomé,LE PEN,601,34.48,1,39.94,1,2251,462,1789,1743,20.52,19.28,51.12,28.0,1.61,12.29,20222.0,53.01,14.15,42.0,2969,2993,1
550,Salomé,MÉLENCHON,369,21.17,0,20.86,0,2251,462,1789,1743,20.52,19.28,51.12,28.0,1.61,12.29,20222.0,53.01,14.15,42.0,2969,2993,0
551,Saméon,LE PEN,257,24.55,1,36.38,1,1250,172,1078,1047,13.76,23.59,52.91,22.25,1.24,6.04,26149.0,66.47,13.41,22.0,1641,1662,1
551,Saméon,FILLON,250,23.88,0,24.52,0,1250,172,1078,1047,13.76,23.59,52.91,22.25,1.24,6.04,26149.0,66.47,13.41,22.0,1641,1662,0
552,Sancourt,LE PEN,63,48.84,1,43.22,1,153,21,132,129,13.73,10.85,70.54,17.05,1.55,4.55,21087.0,57.52,0.0,0.0,198,202,1
552,Sancourt,FILLON,20,15.5,0,19.49,0,153,21,132,129,13.73,10.85,70.54,17.05,1.55,4.55,21087.0,57.52,0.0,0.0,198,202,0
553,Santes,MACRON,919,24.07,1,35.92,1,4697,797,3900,3818,16.97,24.07,51.73,22.87,1.34,7.34,24230.0,61.11,17.68,102.0,5768,5821,1
553,Santes,LE PEN,914,23.94,0,24.73,0,4697,797,3900,3818,16.97,24.07,51.73,22.87,1.34,7.34,24230.0,61.11,17.68,102.0,5768,5821,0
554,Sars-et-Rosières,LE PEN,97,26.01,1,33.97,1,441,56,385,373,12.7,22.52,52.01,23.86,1.61,1.82,25852.0,65.43,0.0,0.0,574,580,1
554,Sars-et-Rosières,MACRON,84,22.52,0,25.12,0,441,56,385,373,12.7,22.52,52.01,23.86,1.61,1.82,25852.0,65.43,0.0,0.0,574,580,0
555,Sars-Poteries,LE PEN,300,41.15,1,42.2,1,983,230,753,729,23.4,16.05,57.75,24.83,1.37,20.95,16385.0,50.05,12.99,19.0,1463,1480,1
555,Sars-Poteries,MÉLENCHON,132,18.11,0,23.15,0,983,230,753,729,23.4,16.05,57.75,24.83,1.37,20.95,16385.0,50.05,12.99,19.0,1463,1480,0
556,Sassegnies,LE PEN,73,42.2,1,41.86,1,224,43,181,173,19.2,10.98,63.58,24.28,1.16,17.77,20683.0,53.54,0.0,0.0,275,278,1
556,Sassegnies,MÉLENCHON,28,16.18,0,14.53,0,224,43,181,173,19.2,10.98,63.58,24.28,1.16,17.77,20683.0,53.54,0.0,0.0,275,278,0
557,Saultain,LE PEN,406,29.51,1,32.21,1,1752,333,1419,1376,19.01,21.22,48.76,27.54,2.47,10.43,21941.0,55.74,23.09,54.0,2339,2354,1
557,Saultain,MÉLENCHON,301,21.88,0,28.36,0,1752,333,1419,1376,19.01,21.22,48.76,27.54,2.47,10.43,21941.0,55.74,23.09,54.0,2339,2354,0
558,Saulzoir,LE PEN,362,32.73,1,36.43,1,1379,243,1136,1106,17.62,15.28,55.7,27.4,1.63,9.3,19672.0,54.22,5.6,10.0,1787,1807,1
558,Saulzoir,MÉLENCHON,231,20.89,0,23.78,0,1379,243,1136,1106,17.62,15.28,55.7,27.4,1.63,9.3,19672.0,54.22,5.6,10.0,1787,1807,0
559,Sebourg,FILLON,351,27.77,1,32.33,1,1547,262,1285,1264,16.94,22.94,57.91,17.01,2.14,4.74,27921.0,66.73,3.05,6.0,1966,1998,1
