code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,bloc_vainqueur
59088,00088,Bois-Grenier,2017,1349,191,1158,1129,14.16,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,35.34,22.14,18.33,13.64,4.78,DROITE,CENTRE,DROITE,GAUCHE,DROITE,22.14,1.15,58.46,18.25,DROITE
59089,00089,Bollezeele,2017,1065,163,902,880,15.31,LE PEN,FILLON,MÉLENCHON,MACRON,DUPONT-AIGNAN,35.11,22.39,15.34,15.0,5.91,DROITE,DROITE,GAUCHE,CENTRE,DROITE,15.0,1.7,63.41,19.89,DROITE
59090,00090,Bondues,2017,9112,1946,7166,7072,21.36,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,54.58,22.09,9.26,6.31,3.68,DROITE,CENTRE,DROITE,GAUCHE,DROITE,22.09,1.12,67.52,9.28,DROITE
59091,00091,Borre,2017,454,52,402,384,11.45,FILLON,LE PEN,MACRON,MÉLENCHON,DUPONT-AIGNAN,27.86,26.82,19.53,11.72,6.77,DROITE,DROITE,CENTRE,GAUCHE,DROITE,19.53,1.3,61.46,17.71,DROITE
59092,00092,Bouchain,2017,3084,636,2448,2405,20.62,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,37.09,22.04,16.13,13.26,4.82,DROITE,GAUCHE,CENTRE,DROITE,DROITE,16.13,1.5,55.18,27.19,DROITE
59093,00093,Boulogne-sur-Helpe,2017,256,23,233,229,8.98,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,31.44,27.07,16.59,10.48,6.11,DROITE,DROITE,CENTRE,GAUCHE,DROITE,16.59,2.18,64.63,16.59,DROITE
59094,00094,Bourbourg,2017,4998,1116,3882,3784,22.33,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,41.89,15.2,14.64,14.43,5.55,DROITE,GAUCHE,CENTRE,DROITE,DROITE,14.64,1.53,61.87,21.96,DROITE
59096,00096,Bourghelles,2017,1280,172,1108,1091,13.44,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,29.06,25.3,16.68,15.03,7.06,DROITE,CENTRE,DROITE,GAUCHE,DROITE,25.3,1.74,52.8,20.16,DROITE
59097,00097,Boursies,2017,241,37,204,198,15.35,LE PEN,FILLON,MÉLENCHON,MACRON,DUPONT-AIGNAN,41.41,19.7,11.62,8.59,8.08,DROITE,DROITE,GAUCHE,CENTRE,DROITE,8.59,1.52,69.19,20.71,DROITE
59098,00098,Bousbecque,2017,3725,747,2978,2912,20.05,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,27.82,26.27,20.71,13.32,6.04,DROITE,DROITE,CENTRE,GAUCHE,DROITE,20.71,1.27,60.13,17.89,DROITE
59099,00099,Bousies,2017,1298,242,1056,1017,18.64,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,37.36,18.49,18.29,13.27,4.52,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,18.29,1.57,55.06,25.07,DROITE
59100,00100,Bousignies,2017,231,29,202,196,12.55,FILLON,LE PEN,MACRON,MÉLENCHON,HAMON,28.06,23.98,21.43,13.27,4.59,DROITE,DROITE,CENTRE,GAUCHE,GAUCHE,21.43,1.02,56.12,21.43,DROITE
59101,00101,Bousignies-sur-Roc,2017,236,58,178,177,24.58,LE PEN,FILLON,MÉLENCHON,MACRON,DUPONT-AIGNAN,40.11,23.73,14.69,10.73,6.21,DROITE,DROITE,GAUCHE,CENTRE,DROITE,10.73,1.13,70.06,18.08,DROITE
59102,00102,Boussières-en-Cambrésis,2017,311,57,254,247,18.33,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,37.25,21.86,13.77,12.55,6.07,DROITE,DROITE,CENTRE,GAUCHE,DROITE,13.77,4.45,65.18,16.6,DROITE
59103,00103,Boussières-sur-Sambre,2017,342,58,284,273,16.96,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,37.0,17.95,16.85,14.65,5.13,DROITE,GAUCHE,CENTRE,DROITE,DROITE,16.85,1.47,56.78,24.91,DROITE
