code_geo,libelle_commune,annee,bloc_vainqueur,cible_binaire,cible_multiclasse,bloc_cand1_enc,taux_faible_diplome_scaled,bloc_cand3_enc,bloc_cand2_enc,bloc_cand5_enc,revenu_median_scaled,log_delinquance_scaled,cible_transition,cible_transition_enc
59499,Rexpoëde,2017,DROITE,0,0,0,-0.4417721008091294,1,0,0,-0.208081436623279,-0.10220647220762674,STABLE_DROITE,0
59500,Ribécourt-la-Tour,2017,DROITE,0,0,0,0.2258357733037512,2,0,0,-0.35716886393298747,-1.032153966622708,STABLE_DROITE,0
59501,Rieulay,2017,DROITE,0,0,0,0.5412563051309951,1,2,0,-0.27605742220281565,0.7903899593841573,STABLE_DROITE,0
59502,Rieux-en-Cambrésis,2017,DROITE,0,0,0,-0.8965194933208016,1,2,0,-0.9177244551613408,0.061761462105485734,STABLE_DROITE,0
59503,Robersart,2017,DROITE,0,0,0,0.2645376790494246,0,1,0,0.05495607279318909,-1.032153966622708,STABLE_DROITE,0
59504,Roeulx,2017,DROITE,0,0,0,-1.0281059728560937,1,2,2,-1.263186951923044,1.0527896482875123,STABLE_DROITE,0
59505,Rombies-et-Marchipont,2017,DROITE,0,0,0,0.7212201668483801,1,0,0,1.0699984468335173,-1.032153966622708,STABLE_DROITE,0
59506,Romeries,2017,DROITE,0,0,0,0.8837681709802124,1,0,0,0.030983865318280016,-1.032153966622708,STABLE_DROITE,0
59507,Ronchin,2017,GAUCHE,1,2,2,1.557181330954943,0,1,2,-0.24354716822999378,1.4392220368402846,GAUCHE,3
59508,Roncq,2017,DROITE,0,0,0,0.8218451217871336,1,0,0,0.65951544212617,1.4776164260249267,BASCULE_CENTRE,1
59509,Roost-Warendin,2017,DROITE,0,0,0,-0.38952452805247,1,2,0,-0.6428650352093012,0.9623677679619171,STABLE_DROITE,0
59511,Rosult,2017,DROITE,0,0,0,0.6979990234009761,0,1,0,1.2085775092227176,0.2890812209619793,BASCULE_CENTRE,1
59512,Roubaix,2017,GAUCHE,1,2,2,1.7990682418654067,0,1,2,-2.5028456261392327,1.4806344526781543,GAUCHE,3
59513,Roucourt,2017,DROITE,0,0,0,-0.9236108273427737,2,0,2,0.9291206796179556,-1.032153966622708,STABLE_DROITE,0
59514,Rousies,2017,DROITE,0,0,0,-0.45725286310739877,0,2,2,-0.5604400478640658,1.0523511324340196,STABLE_DROITE,0
59515,Rouvignies,2017,DROITE,0,0,0,-1.455762031345794,1,2,0,-0.5384381588117519,1.0494932298828528,STABLE_DROITE,0
59516,Rubrouck,2017,DROITE,0,0,0,-0.6894642975814446,2,0,0,0.010295521881029718,-1.032153966622708,BASCULE_CENTRE,1
59517,Les Rues-des-Vignes,2017,DROITE,0,0,0,-0.7784786807964954,1,0,0,0.13573912811959502,-1.032153966622708,STABLE_DROITE,0
59518,Ruesnes,2017,DROITE,0,0,0,-0.34501733644494387,1,0,0,0.4060011384189124,-1.032153966622708,STABLE_DROITE,0
59519,Rumegies,2017,DROITE,0,0,0,-0.219236142771503,1,0,0,0.6128845727914154,0.24818192436678324,STABLE_DROITE,0
59520,Rumilly-en-Cambrésis,2017,DROITE,0,0,0,-1.068742973889052,2,1,0,-0.3049554257342129,-0.017280900361892955,STABLE_DROITE,0
59521,Sailly-lez-Cambrai,2017,DROITE,0,0,0,0.26260258376214124,2,0,0,-0.12401451725921428,-1.032153966622708,STABLE_DROITE,0
59522,Sailly-lez-Lannoy,2017,DROITE,0,0,0,2.2731665872499165,0,1,0,2.28141589032584,0.8565544343517201,BASCULE_CENTRE,1
59523,Sainghin-en-Mélantois,2017,DROITE,0,0,0,2.965930700097484,0,1,0,2.344137693445123,1.2783329313244742,BASCULE_CENTRE,1
59524,Sainghin-en-Weppes,2017,DROITE,0,0,0,0.6999341186882594,2,1,0,0.5127267196428227,1.0222442365908735,BASCULE_CENTRE,1
59525,Sains-du-Nord,2017,DROITE,0,0,0,0.0865089126193229,1,2,2,-1.2024354672263569,0.8766501043042026,STABLE_DROITE,0
59526,Saint-Amand-les-Eaux,2017,DROITE,0,0,0,0.45030682662866095,1,2,0,-0.7561583445085289,1.4759519240703314,STABLE_DROITE,0
59527,Saint-André-lez-Lille,2017,CENTRE,1,1,1,1.8377701476110815,0,2,2,0.33966708485820507,1.2600607821184326,CENTRE,2
