code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,bloc_vainqueur,taux_chomage,nb_chomeurs,nb_actifs,population_mun,population_tot,taux_delinquance,nb_faits_total,nb_indicateurs,bloc_vainqueur_encoded
59047,00047,Banteux,2017,266,55,211,207,20.68,LE PEN,FILLON,MÉLENCHON,MACRON,HAMON,39.61,18.36,16.91,11.59,4.83,DROITE,DROITE,GAUCHE,CENTRE,GAUCHE,11.59,1.93,62.32,24.15,DROITE,21.43,29.56055,137.94922,341,343,0.0,0.0,8.0,2
59048,00048,Bantigny,2017,386,50,336,322,12.95,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,34.16,22.36,17.39,13.66,5.28,DROITE,CENTRE,DROITE,GAUCHE,DROITE,22.36,2.48,56.83,18.32,DROITE,11.76,20.0,170.0,507,519,0.0,0.0,9.0,2
59049,00049,Bantouzelle,2017,316,73,243,236,23.1,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,39.41,16.53,15.25,14.83,9.32,DROITE,GAUCHE,CENTRE,DROITE,DROITE,15.25,2.54,63.56,18.64,DROITE,22.55,39.90601,176.96381,420,424,0.0,0.0,5.0,2
59050,00050,Bas-Lieu,2017,233,34,199,197,14.59,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,31.98,23.86,20.3,8.63,8.12,DROITE,DROITE,CENTRE,GAUCHE,DROITE,20.3,1.52,63.96,14.21,DROITE,23.81,25.57971,107.43478,353,361,0.0,0.0,6.0,2
59051,00051,La Bassée,2017,4409,1006,3403,3318,22.82,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,33.94,18.63,17.99,13.8,6.72,DROITE,CENTRE,GAUCHE,DROITE,DROITE,18.63,1.45,54.46,25.47,DROITE,15.22,440.0,2890.0,6421,6476,45.01,289.0,12.0,2
59052,00052,Bauvin,2017,4113,859,3254,3162,20.88,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,39.47,21.76,16.41,9.49,4.87,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,16.41,1.39,53.45,28.75,DROITE,12.65,315.9981,2497.40435,5230,5272,24.09,126.0,11.0,2
59053,00053,Bavay,2017,2222,409,1813,1757,18.41,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,37.11,17.76,17.3,14.51,5.86,DROITE,DROITE,CENTRE,GAUCHE,DROITE,17.3,1.59,60.73,20.38,DROITE,20.82,308.84499,1483.30721,3350,3442,37.31,125.0,8.0,2
59054,00054,Bavinchove,2017,745,129,616,594,17.32,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,31.31,21.72,15.99,15.15,7.91,DROITE,CENTRE,GAUCHE,DROITE,DROITE,21.72,0.67,54.38,23.23,DROITE,11.96,53.71312,449.23703,960,969,7.29,7.0,5.0,2
59055,00055,Bazuel,2017,429,96,333,322,22.38,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,38.51,23.6,15.84,11.49,4.97,DROITE,DROITE,CENTRE,GAUCHE,DROITE,15.84,0.31,67.08,16.77,DROITE,20.0,45.0,225.0,533,545,16.89,9.0,6.0,2
59056,00056,Beaucamps-Ligny,2017,742,106,636,619,14.29,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,38.61,26.17,16.32,9.37,4.85,DROITE,CENTRE,DROITE,GAUCHE,DROITE,26.17,1.13,59.77,12.92,DROITE,7.59,30.07102,395.93507,857,879,17.5,15.0,5.0,2
59057,00057,Beaudignies,2017,430,49,381,370,11.4,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,32.7,18.38,17.84,15.14,6.49,DROITE,DROITE,CENTRE,GAUCHE,DROITE,17.84,2.97,57.57,21.62,DROITE,4.08,10.0,245.0,563,578,0.0,0.0,6.0,2
59058,00058,Beaufort,2017,799,122,677,668,15.27,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,39.07,22.75,13.92,12.57,7.19,DROITE,DROITE,CENTRE,GAUCHE,DROITE,13.92,1.5,69.01,15.57,DROITE,8.42,38.97132,462.78437,987,1001,0.0,0.0,4.0,2
59059,00059,Beaumont-en-Cambrésis,2017,333,71,262,256,21.32,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,41.02,19.92,17.58,11.72,4.3,DROITE,CENTRE,GAUCHE,DROITE,DROITE,19.92,2.34,57.03,20.7,DROITE,19.15,45.0,235.0,448,451,0.0,0.0,8.0,2
59060,00060,Beaurain,2017,176,33,143,140,18.75,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,50.0,12.86,12.86,10.0,5.71,DROITE,CENTRE,GAUCHE,DROITE,DROITE,12.86,3.57,65.71,17.86,DROITE,4.35,5.0,115.0,231,234,0.0,0.0,11.0,2
59061,00061,Beaurepaire-sur-Sambre,2017,189,39,150,148,20.63,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,35.14,22.3,13.51,11.49,8.11,DROITE,DROITE,CENTRE,GAUCHE,DROITE,13.51,2.7,65.54,18.24,DROITE,9.76,10.46132,107.16532,257,261,0.0,0.0,10.0,2
59062,00062,Beaurieux,2017,107,14,93,92,13.08,LE PEN,FILLON,MACRON,MÉLENCHON,LASSALLE,27.17,26.09,19.57,16.3,4.35,DROITE,DROITE,CENTRE,GAUCHE,DIVERS,19.57,4.35,56.52,19.57,DROITE,16.67,15.18405,91.10429,165,165,0.0,0.0,12.0,2
59063,00063,Beauvois-en-Cambrésis,2017,1532,348,1184,1160,22.72,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,40.6,19.05,15.95,11.12,4.91,DROITE,CENTRE,GAUCHE,DROITE,DROITE,19.05,2.59,56.64,21.72,DROITE,25.73,238.20913,925.79671,2079,2103,12.99,27.0,5.0,2
59064,00064,Bellaing,2017,963,168,795,767,17.45,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,28.42,22.56,17.47,16.43,6.39,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.47,2.09,51.24,29.2,DROITE,17.48,88.05911,503.89377,1225,1236,34.29,42.0,8.0,2
59065,00065,Bellignies,2017,623,148,475,465,23.76,LE PEN,MACRON,MÉLENCHON,FILLON,HAMON,38.49,16.99,16.99,15.7,4.09,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,16.99,1.08,58.06,23.87,DROITE,18.75,75.0,400.0,833,841,0.0,0.0,5.0,2
59066,00066,Bérelles,2017,102,20,82,80,19.61,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,33.75,20.0,17.5,11.25,8.75,DROITE,CENTRE,DROITE,GAUCHE,DROITE,20.0,3.75,60.0,16.25,DROITE,18.18,10.06757,55.37162,149,152,0.0,0.0,10.0,2
59067,00067,Bergues,2017,2992,713,2279,2224,23.83,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,32.46,18.84,18.3,16.91,5.26,DROITE,DROITE,CENTRE,GAUCHE,DROITE,18.3,1.53,56.56,23.61,DROITE,15.31,250.05669,1633.02326,3729,3790,29.77,111.0,8.0,2
59068,00068,Berlaimont,2017,2372,605,1767,1712,25.51,LE PEN,MÉLENCHON,FILLON,MACRON,DUPONT-AIGNAN,32.89,21.32,16.71,16.59,4.85,DROITE,GAUCHE,DROITE,CENTRE,DROITE,16.59,1.4,54.44,27.57,DROITE,19.38,233.55513,1205.12165,3105,3141,18.36,57.0,7.0,2
59069,00069,Bermerain,2017,567,95,472,455,16.75,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,31.65,20.88,17.8,17.14,5.71,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.8,1.32,54.51,26.37,DROITE,11.3,46.00737,407.08508,717,723,0.0,0.0,5.0,2
59070,00070,Bermeries,2017,278,44,234,228,15.83,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,35.53,21.05,14.91,12.72,6.58,DROITE,DROITE,CENTRE,GAUCHE,DROITE,14.91,0.88,63.16,21.05,DROITE,12.73,70.0,610.656765,375,379,6.11,7.0,,2
