code_geo,libelle_commune,pred_binaire,proba_droite,proba_exception,pred_label,scenario
59542,Saint-Remy-Chaussée,0,0.9606027888887959,0.03939721111120408,DROITE,Neutre
59543,Saint-Remy-du-Nord,0,0.9822429975440956,0.017757002455904336,DROITE,Neutre
59544,Saint-Saulve,1,0.3391260477321151,0.6608739522678849,EXCEPTION,Neutre
59545,Saint-Souplet,0,0.9660686868577101,0.03393131314228994,DROITE,Neutre
59546,Saint-Sylvestre-Cappel,0,0.8702570720228976,0.1297429279771024,DROITE,Neutre
59547,Saint-Vaast-en-Cambrésis,0,0.9350834035554927,0.06491659644450735,DROITE,Neutre
59548,Saint-Waast,0,0.9189018314216324,0.08109816857836763,DROITE,Neutre
59549,Salesches,0,0.98880869921643,0.011191300783570023,DROITE,Neutre
59550,Salomé,1,0.4989006428735895,0.5010993571264105,EXCEPTION,Neutre
59551,Saméon,1,0.22173406185010636,0.7782659381498936,EXCEPTION,Neutre
59552,Sancourt,0,0.9841348379453131,0.015865162054686875,DROITE,Neutre
59553,Santes,1,0.19813498596018853,0.8018650140398115,EXCEPTION,Neutre
59554,Sars-et-Rosières,1,0.06308460532132787,0.9369153946786721,EXCEPTION,Neutre
59555,Sars-Poteries,0,0.9039984174224487,0.09600158257755131,DROITE,Neutre
59556,Sassegnies,0,0.9429797004190488,0.05702029958095123,DROITE,Neutre
59557,Saultain,1,0.4736670850640672,0.5263329149359328,EXCEPTION,Neutre
59558,Saulzoir,0,0.8711237350937326,0.12887626490626736,DROITE,Neutre
59559,Sebourg,1,0.06141891775683328,0.9385810822431667,EXCEPTION,Neutre
59560,Seclin,1,0.1744297520331014,0.8255702479668986,EXCEPTION,Neutre
59562,Sémeries,0,0.8863278437670759,0.11367215623292419,DROITE,Neutre
59563,Semousies,0,0.9128404258324557,0.08715957416754429,DROITE,Neutre
59564,La Sentinelle,0,0.8914132769102242,0.1085867230897758,DROITE,Neutre
59565,Sepmeries,0,0.6167365901492184,0.38326340985078156,DROITE,Neutre
59566,Sequedin,1,0.45434418286264144,0.5456558171373586,EXCEPTION,Neutre
59567,Séranvillers-Forenville,0,0.8689311209451651,0.13106887905483483,DROITE,Neutre
59568,Sercus,0,0.9360478005468731,0.06395219945312694,DROITE,Neutre
59569,Sin-le-Noble,0,0.8751863510209841,0.12481364897901591,DROITE,Neutre
59570,Socx,1,0.24053428128087329,0.7594657187191267,EXCEPTION,Neutre
59571,Solesmes,0,0.7552999003724992,0.24470009962750078,DROITE,Neutre
59572,Solre-le-Château,0,0.9470118655346113,0.05298813446538872,DROITE,Neutre
59573,Solrinnes,0,0.7782561668733371,0.22174383312666288,DROITE,Neutre
59574,Somain,0,0.7177379972675346,0.2822620027324654,DROITE,Neutre
59575,Sommaing,0,0.5590819302914591,0.44091806970854086,DROITE,Neutre
59576,Spycker,0,0.8988136286482654,0.10118637135173454,DROITE,Neutre
59577,Staple,0,0.8434381312387513,0.1565618687612486,DROITE,Neutre
