code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59181,00181,Dourlers,2022,411,84,327,321,20.44,LE PEN,MACRON,ZEMMOUR,MÉLENCHON,PÉCRESSE,33.96,29.28,8.72,8.1,5.61,DROITE,CENTRE,DROITE,GAUCHE,DROITE,29.28,2.8,52.65,15.26,8.14,24490.0,55.59,0.0,0.0,539,545,DROITE,0,LE PEN
59186,00186,Eccles,2022,64,15,49,49,23.44,LE PEN,MACRON,MÉLENCHON,LASSALLE,PÉCRESSE,26.53,16.33,12.24,10.2,10.2,DROITE,CENTRE,GAUCHE,DIVERS,DROITE,16.33,10.2,53.06,20.41,0.0,23030.0,47.37,0.0,0.0,88,90,DROITE,0,LE PEN
59190,00190,Elesmes,2022,738,135,603,583,18.29,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,37.39,25.04,13.38,8.4,4.29,DROITE,CENTRE,GAUCHE,DROITE,DROITE,25.04,2.4,51.29,21.27,7.6,26150.0,51.89,0.0,0.0,992,1006,DROITE,0,LE PEN
59198,00198,Eppe-Sauvage,2022,149,49,100,98,32.89,LE PEN,MÉLENCHON,MACRON,PÉCRESSE,ZEMMOUR,28.57,21.43,19.39,7.14,7.14,DROITE,GAUCHE,CENTRE,DROITE,DROITE,19.39,1.02,44.9,34.69,15.91,23030.0,56.6,0.0,0.0,234,234,DROITE,0,LE PEN
59225,00225,Feignies,2022,4554,1399,3155,3105,30.72,LE PEN,MÉLENCHON,MACRON,ZEMMOUR,ROUSSEL,40.71,22.48,18.39,5.73,3.09,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,18.39,2.16,49.95,29.5,20.89,19550.0,51.51,32.85,221.0,6752,6820,DROITE,0,LE PEN
59226,00226,Felleries,2022,927,224,703,693,24.16,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,37.95,24.1,14.86,5.48,4.04,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,24.1,3.03,49.49,23.38,16.87,21730.0,58.53,0.0,0.0,1455,1469,DROITE,0,LE PEN
59229,00229,Féron,2022,429,87,342,331,20.28,MACRON,LE PEN,MÉLENCHON,ZEMMOUR,PÉCRESSE,31.12,30.51,17.22,4.83,4.23,CENTRE,DROITE,GAUCHE,DROITE,DROITE,31.12,2.11,43.2,23.56,9.31,22470.0,56.12,0.0,0.0,527,546,CENTRE,1,MACRON
59230,00230,Ferrière-la-Grande,2022,3743,1122,2621,2579,29.98,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,46.57,19.74,15.86,5.39,2.75,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,19.74,1.47,56.34,22.45,18.91,19240.0,50.94,26.71,138.0,5202,5254,DROITE,0,LE PEN
59231,00231,Ferrière-la-Petite,2022,776,207,569,561,26.68,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,40.82,17.11,16.4,8.38,3.74,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,17.11,2.85,53.83,26.2,20.01,20640.0,50.42,4.79,5.0,1062,1066,DROITE,0,LE PEN
59232,00232,La Flamengrie,2022,317,52,265,258,16.4,LE PEN,MACRON,MÉLENCHON,JADOT,DUPONT-AIGNAN,32.56,27.91,13.57,5.81,4.26,DROITE,CENTRE,GAUCHE,GAUCHE,DROITE,27.91,3.49,43.41,25.19,12.65,25620.0,56.81,0.0,0.0,435,443,DROITE,0,LE PEN
