commune,candidat,pct_2022,target_2022,prediction,correct
Sainghin-en-Weppes,LE PEN,29.04,0,1,0
Salomé,LE PEN,39.94,1,1,1
Salomé,MACRON,20.86,0,0,1
Santes,MACRON,35.92,1,1,1
Santes,LE PEN,24.73,0,0,1
Seclin,LE PEN,29.24,1,1,1
Seclin,MACRON,26.41,0,1,0
Templemars,MACRON,31.16,1,1,1
Templemars,LE PEN,25.16,0,0,1
Vendeville,MACRON,36.68,1,1,1
Vendeville,LE PEN,23.03,0,0,1
Wattignies,MACRON,30.28,1,1,1
Wattignies,MÉLENCHON,28.24,0,1,0
Wavrin,LE PEN,30.77,1,1,1
Wavrin,MACRON,28.12,0,1,0
Wicres,MACRON,30.13,1,1,1
Wicres,LE PEN,19.87,0,0,1
Don,MACRON,30.11,1,1,1
Don,LE PEN,29.38,0,1,0
Aix,MACRON,37.8,1,1,1
Aix,LE PEN,24.91,0,0,1
Anstaing,MACRON,34.81,1,1,1
Anstaing,MÉLENCHON,20.45,0,0,1
Attiches,MACRON,32.85,1,1,1
Attiches,LE PEN,26.26,0,1,0
Auchy-lez-Orchies,MACRON,34.85,1,1,1
Auchy-lez-Orchies,LE PEN,24.01,0,0,1
Avelin,MACRON,41.56,1,1,1
Avelin,LE PEN,24.58,0,0,1
Bachy,MACRON,37.68,1,1,1
Bachy,LE PEN,22.07,0,0,1
Baisieux,MACRON,38.05,1,1,1
Baisieux,LE PEN,23.32,0,0,1
Bersée,MACRON,38.05,1,1,1
Bersée,LE PEN,23.64,0,0,1
Beuvry-la-Forêt,LE PEN,31.35,1,1,1
Beuvry-la-Forêt,MACRON,28.93,0,1,0
Bourghelles,MACRON,39.22,1,1,1
Bourghelles,LE PEN,19.85,0,0,1
Bouvines,MACRON,45.38,1,1,1
Bouvines,MÉLENCHON,19.68,0,0,1
Camphin-en-Pévèle,MACRON,40.52,1,1,1
Camphin-en-Pévèle,LE PEN,21.02,0,0,1
Cappelle-en-Pévèle,MACRON,36.47,1,1,1
Cappelle-en-Pévèle,LE PEN,24.17,0,0,1
Chéreng,MACRON,42.12,1,1,1
Chéreng,LE PEN,16.82,0,0,1
Cobrieux,MACRON,41.84,1,1,1
Cobrieux,LE PEN,18.16,0,0,1
Coutiches,MACRON,31.93,1,1,1
Coutiches,LE PEN,28.47,0,1,0
Cysoing,MACRON,37.11,1,1,1
Cysoing,LE PEN,20.21,0,0,1
Ennevelin,MACRON,35.96,1,1,1
Ennevelin,LE PEN,21.72,0,0,1
Faumont,MACRON,33.59,1,1,1
Faumont,LE PEN,31.03,0,1,0
Forest-sur-Marque,MACRON,41.94,1,1,1
Forest-sur-Marque,LE PEN,17.55,0,0,1
Fretin,MACRON,32.2,1,1,1
Fretin,LE PEN,22.15,0,0,1
Genech,MACRON,40.91,1,1,1
Genech,LE PEN,18.37,0,0,1
Gruson,MACRON,49.6,1,1,1
Gruson,LE PEN,12.46,0,0,1
Landas,MACRON,32.26,1,1,1
Landas,LE PEN,26.33,0,1,0
Louvil,MACRON,47.61,1,1,1
Louvil,MÉLENCHON,12.74,0,0,1
Mérignies,MACRON,47.58,1,1,1
Mérignies,LE PEN,17.82,0,0,1
Moncheaux,MACRON,34.66,1,1,1
Moncheaux,LE PEN,25.1,0,0,1
Mons-en-Pévèle,MACRON,36.81,1,1,1
Mons-en-Pévèle,LE PEN,20.78,0,0,1
Mouchin,MACRON,34.88,1,1,1
Mouchin,LE PEN,24.91,0,0,1
La Neuville,MACRON,34.51,1,1,1
La Neuville,LE PEN,25.19,0,0,1
Nomain,MACRON,36.53,1,1,1
Nomain,LE PEN,21.26,0,0,1
Orchies,LE PEN,32.63,1,1,1
Orchies,MACRON,25.85,0,0,1
Ostricourt,LE PEN,33.59,1,1,1
Ostricourt,MÉLENCHON,31.27,0,1,0
Péronne-en-Mélantois,MACRON,36.28,1,1,1
Péronne-en-Mélantois,LE PEN,20.66,0,0,1
Phalempin,MACRON,36.05,1,1,1
Phalempin,LE PEN,21.68,0,0,1
Pont-à-Marcq,MACRON,34.78,1,1,1
Pont-à-Marcq,LE PEN,25.41,0,1,0
Sailly-lez-Lannoy,MACRON,46.52,1,1,1
Sailly-lez-Lannoy,LE PEN,14.93,0,0,1
Sainghin-en-Mélantois,MACRON,41.18,1,1,1
Sainghin-en-Mélantois,LE PEN,16.56,0,0,1
Saméon,MACRON,36.38,1,1,1
Saméon,LE PEN,24.52,0,0,1
Templeuve-en-Pévèle,MACRON,35.03,1,1,1
Templeuve-en-Pévèle,LE PEN,22.45,0,0,1
Thumeries,LE PEN,33.09,1,1,1
Thumeries,MACRON,28.52,0,1,0
Tourmignies,MACRON,35.93,1,1,1
Tourmignies,LE PEN,22.48,0,0,1
Tressin,MACRON,40.4,1,1,1
Tressin,LE PEN,15.52,0,0,1
Wahagnies,LE PEN,32.82,1,1,1
Wahagnies,MACRON,25.91,0,0,1
Wannehain,MACRON,29.23,1,1,1
Wannehain,LE PEN,24.07,0,0,1
Willems,MACRON,33.08,1,1,1
Willems,LE PEN,25.3,0,0,1
Croix,MACRON,32.51,1,1,1
Croix,MÉLENCHON,24.74,0,0,1
Hem,MACRON,32.64,1,1,1
Hem,MÉLENCHON,29.52,0,1,0
Lannoy,MACRON,28.22,1,1,1
Lannoy,LE PEN,25.86,0,0,1
Leers,MACRON,31.2,1,1,1
Leers,LE PEN,29.17,0,1,0
Lys-lez-Lannoy,MACRON,29.07,1,1,1
Lys-lez-Lannoy,LE PEN,27.39,0,1,0
Roubaix,MÉLENCHON,51.29,1,1,1
Roubaix,MACRON,20.29,0,0,1
Toufflers,MACRON,32.08,1,1,1
Toufflers,LE PEN,26.93,0,1,0
Wasquehal,MACRON,37.25,1,1,1
Wasquehal,MÉLENCHON,19.43,0,0,1
Wattrelos,LE PEN,32.86,1,1,1
Wattrelos,MÉLENCHON,28.53,0,1,0
Bondues,MACRON,50.78,1,1,1
Bondues,LE PEN,11.93,0,0,1
Marcq-en-Baroeul,MACRON,42.07,1,1,1
Marcq-en-Baroeul,MÉLENCHON,16.15,0,0,1
Mouvaux,MACRON,44.37,1,1,1
Mouvaux,LE PEN,14.89,0,0,1
Tourcoing,MÉLENCHON,36.82,1,1,1
Tourcoing,LE PEN,25.25,0,0,1
Bousbecque,MACRON,35.84,1,1,1
Bousbecque,LE PEN,26.12,0,0,1
Halluin,LE PEN,30.19,1,1,1
Halluin,MACRON,28.08,0,1,0
Linselles,MACRON,39.92,1,1,1
Linselles,LE PEN,25.36,0,0,1
Neuville-en-Ferrain,MACRON,34.2,1,1,1
Neuville-en-Ferrain,LE PEN,27.48,0,1,0
Roncq,MACRON,35.92,1,1,1
Roncq,LE PEN,23.27,0,0,1
Armentières,LE PEN,28.87,1,1,1
Armentières,MÉLENCHON,25.39,0,0,1
Beaucamps-Ligny,MACRON,43.78,1,1,1
Beaucamps-Ligny,LE PEN,16.8,0,0,1
Bois-Grenier,MACRON,43.48,1,1,1
Bois-Grenier,LE PEN,18.59,0,0,1
