commune,bloc_vainqueur,target_mc,target_label,prediction,prediction_label,correct
Villers-Guislain,DROITE,1,DROITE,1,DROITE,1
Villers-Outréaux,DROITE,1,DROITE,1,DROITE,1
Villers-Plouich,DROITE,1,DROITE,1,DROITE,1
Walincourt-Selvigny,DROITE,1,DROITE,1,DROITE,1
Abscon,DROITE,1,DROITE,1,DROITE,1
Artres,DROITE,1,DROITE,0,CENTRE,0
Aulnoy-lez-Valenciennes,DROITE,1,DROITE,1,DROITE,1
Avesnes-le-Sec,DROITE,1,DROITE,1,DROITE,1
Bouchain,DROITE,1,DROITE,1,DROITE,1
Denain,DROITE,1,DROITE,2,GAUCHE,0
Douchy-les-Mines,DROITE,1,DROITE,1,DROITE,1
Emerchicourt,DROITE,1,DROITE,1,DROITE,1
Escaudain,DROITE,1,DROITE,1,DROITE,1
Famars,CENTRE,0,CENTRE,1,DROITE,0
Haspres,DROITE,1,DROITE,1,DROITE,1
Haulchin,DROITE,1,DROITE,1,DROITE,1
Haveluy,DROITE,1,DROITE,1,DROITE,1
Hélesmes,DROITE,1,DROITE,1,DROITE,1
Hérin,DROITE,1,DROITE,1,DROITE,1
Hordain,DROITE,1,DROITE,1,DROITE,1
Lieu-Saint-Amand,DROITE,1,DROITE,1,DROITE,1
Lourches,DROITE,1,DROITE,1,DROITE,1
Maing,DROITE,1,DROITE,1,DROITE,1
Marquette-en-Ostrevant,DROITE,1,DROITE,1,DROITE,1
Mastaing,DROITE,1,DROITE,1,DROITE,1
Monchaux-sur-Ecaillon,DROITE,1,DROITE,1,DROITE,1
Neuville-sur-Escaut,DROITE,1,DROITE,1,DROITE,1
Noyelles-sur-Selle,DROITE,1,DROITE,1,DROITE,1
Oisy,DROITE,1,DROITE,1,DROITE,1
Prouvy,DROITE,1,DROITE,1,DROITE,1
Quérénaing,DROITE,1,DROITE,0,CENTRE,0
Roeulx,DROITE,1,DROITE,1,DROITE,1
Rouvignies,DROITE,1,DROITE,2,GAUCHE,0
La Sentinelle,DROITE,1,DROITE,2,GAUCHE,0
Thiant,DROITE,1,DROITE,1,DROITE,1
Trith-Saint-Léger,DROITE,1,DROITE,1,DROITE,1
Verchain-Maugré,DROITE,1,DROITE,1,DROITE,1
Wasnes-au-Bac,DROITE,1,DROITE,1,DROITE,1
Wavrechain-sous-Denain,DROITE,1,DROITE,1,DROITE,1
Wavrechain-sous-Faulx,DROITE,1,DROITE,1,DROITE,1
Anzin,DROITE,1,DROITE,2,GAUCHE,0
Beuvrages,DROITE,1,DROITE,1,DROITE,1
Bousignies,CENTRE,0,CENTRE,0,CENTRE,1
Brillon,CENTRE,0,CENTRE,0,CENTRE,1
Bruay-sur-l'Escaut,DROITE,1,DROITE,1,DROITE,1
Bruille-Saint-Amand,DROITE,1,DROITE,1,DROITE,1
Château-l'Abbaye,DROITE,1,DROITE,1,DROITE,1
Escautpont,DROITE,1,DROITE,1,DROITE,1
Flines-lès-Mortagne,DROITE,1,DROITE,1,DROITE,1
Fresnes-sur-Escaut,DROITE,1,DROITE,1,DROITE,1
Hasnon,DROITE,1,DROITE,1,DROITE,1
