commune,candidat,pct_2017,target_2017,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,population_municipale,pct_2022,target_2022,Tg
Banteux,LE PEN,39.61,1.0,21.43,18327.0,49.42,0.0,341.0,46.11,1.0,1
Banteux,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.06,0.0,0
Bantigny,LE PEN,34.16,1.0,11.76,22500.0,54.08,0.0,507.0,42.28,1.0,1
Bantigny,MACRON,22.36,0.0,11.76,22500.0,54.08,0.0,507.0,22.15,0.0,0
Bantouzelle,LE PEN,39.41,1.0,22.55,18517.0,59.86,0.0,420.0,40.18,1.0,1
Bantouzelle,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.18,0.0,0
Bantouzelle,MÉLENCHON,16.53,0.0,22.55,18517.0,59.86,0.0,420.0,0.0,0.0,0
Bas-Lieu,FILLON,23.86,0.0,23.81,20601.0,50.61,0.0,353.0,0.0,0.0,0
Bas-Lieu,LE PEN,31.98,1.0,23.81,20601.0,50.61,0.0,353.0,35.94,1.0,1
Bas-Lieu,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.77,0.0,0
Bauvin,LE PEN,39.47,1.0,12.65,20365.0,53.2,24.09,5230.0,40.26,1.0,1
Bauvin,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.37,0.0,0
Bauvin,MÉLENCHON,21.76,0.0,12.65,20365.0,53.2,24.09,5230.0,0.0,0.0,0
Bavay,FILLON,17.76,0.0,20.82,18379.0,54.61,37.31,3350.0,0.0,0.0,0
Bavay,LE PEN,37.11,1.0,20.82,18379.0,54.61,37.31,3350.0,38.38,1.0,1
Bavay,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0
Bavinchove,LE PEN,31.31,1.0,11.96,20784.0,53.79,7.29,960.0,37.29,1.0,1
Bavinchove,MACRON,21.72,0.0,11.96,20784.0,53.79,7.29,960.0,31.02,0.0,0
Bazuel,FILLON,23.6,0.0,20.0,17630.0,57.49,16.89,533.0,0.0,0.0,0
Bazuel,LE PEN,38.51,1.0,20.0,17630.0,57.49,16.89,533.0,46.42,1.0,1
Bazuel,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.94,0.0,0
Beaucamps-Ligny,FILLON,38.61,1.0,7.59,27237.0,70.4,17.5,857.0,0.0,0.0,0
Beaucamps-Ligny,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0
Beaucamps-Ligny,MACRON,26.17,0.0,7.59,27237.0,70.4,17.5,857.0,43.78,1.0,1
Beaudignies,FILLON,18.38,0.0,4.08,20787.0,51.22,0.0,563.0,0.0,0.0,0
Beaudignies,LE PEN,32.7,1.0,4.08,20787.0,51.22,0.0,563.0,33.52,1.0,1
Beaudignies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.18,0.0,0
Beaufort,FILLON,22.75,0.0,8.42,20893.0,50.59,0.0,987.0,0.0,0.0,0
Beaufort,LE PEN,39.07,1.0,8.42,20893.0,50.59,0.0,987.0,43.78,1.0,1
Beaufort,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.68,0.0,0
Beaumont-en-Cambrésis,LE PEN,41.02,1.0,19.15,17835.0,56.64,0.0,448.0,47.29,1.0,1
Beaumont-en-Cambrésis,MACRON,19.92,0.0,19.15,17835.0,56.64,0.0,448.0,16.25,0.0,0
Beaurain,LE PEN,50.0,1.0,4.35,19059.0,54.19,0.0,231.0,46.45,1.0,1
Beaurain,MACRON,12.86,0.0,4.35,19059.0,54.19,0.0,231.0,23.87,0.0,0
Beaurepaire-sur-Sambre,FILLON,22.3,0.0,9.76,17676.0,59.6,0.0,257.0,0.0,0.0,0
Beaurepaire-sur-Sambre,LE PEN,35.14,1.0,9.76,17676.0,59.6,0.0,257.0,40.16,1.0,1
Beaurepaire-sur-Sambre,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.41,0.0,0
Beaurieux,FILLON,26.09,0.0,16.67,22157.0,50.86,0.0,165.0,0.0,0.0,0
Beaurieux,LE PEN,27.17,1.0,16.67,22157.0,50.86,0.0,165.0,32.94,1.0,1
Beaurieux,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.59,0.0,0
Beauvois-en-Cambrésis,LE PEN,40.6,1.0,25.73,17952.0,52.44,12.99,2079.0,43.07,1.0,1
Beauvois-en-Cambrésis,MACRON,19.05,0.0,25.73,17952.0,52.44,12.99,2079.0,21.3,0.0,0
Bellaing,LE PEN,28.42,1.0,17.48,19952.0,50.69,34.29,1225.0,36.12,1.0,1
Bellaing,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.04,0.0,0
Bellaing,MÉLENCHON,22.56,0.0,17.48,19952.0,50.69,34.29,1225.0,0.0,0.0,0
Bellignies,LE PEN,38.49,1.0,18.75,20711.0,51.45,0.0,833.0,37.61,1.0,1
Bellignies,MACRON,16.99,0.0,18.75,20711.0,51.45,0.0,833.0,25.9,0.0,0
Bergues,FILLON,18.84,0.0,15.31,19373.0,59.78,29.77,3729.0,0.0,0.0,0
Bergues,LE PEN,32.46,1.0,15.31,19373.0,59.78,29.77,3729.0,33.1,1.0,1
Bergues,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.02,0.0,0
