code_commune,libelle_commune,code_region,code_departement,code_arrondissement,code_canton,population_municipale,population_comptee_a_part,population_totale,annee
59252,Frelinghien,31,59,5,2,2454,26,2480,2011
59253,Fresnes-sur-Escaut,31,59,6,19,7687,65,7752,2011
59254,Fressain,31,59,3,1,874,15,889,2011
59255,Fressies,31,59,2,14,565,10,575,2011
59256,Fretin,31,59,5,48,3326,25,3351,2011
59257,Fromelles,31,59,5,7,857,22,879,2011
59258,Genech,31,59,5,20,2611,448,3059,2011
59259,Ghissignies,31,59,1,49,494,6,500,2011
59260,Ghyvelde,31,59,4,31,3239,54,3293,2011
59261,Glageon,31,59,1,64,1831,15,1846,2011
59262,Godewaersvelde,31,59,4,60,2026,48,2074,2011
59263,Goeulzin,31,59,3,1,1046,29,1075,2011
59264,Gognies-Chaussée,31,59,1,44,786,8,794,2011
59265,Gommegnies,31,59,1,50,2279,32,2311,2011
59266,Gondecourt,31,59,5,57,3943,60,4003,2011
59267,Gonnelieu,31,59,2,43,339,1,340,2011
59268,La Gorgue,31,59,4,46,5944,60,6004,2011
59269,Gouzeaucourt,31,59,2,43,1471,26,1497,2011
59270,Grand-Fayt,31,59,1,4,520,7,527,2011
59272,Grand-Fort-Philippe,31,59,4,27,5377,72,5449,2011
59271,Grande-Synthe,31,59,4,73,20933,252,21185,2011
59273,Gravelines,31,59,4,27,11470,360,11830,2011
59274,La Groise,31,59,2,17,478,13,491,2011
59275,Gruson,31,59,5,33,1147,46,1193,2011
59276,Guesnain,31,59,3,24,4715,28,4743,2011
59277,Gussignies,31,59,1,8,354,9,363,2011
59278,Hallennes-lez-Haubourdin,31,59,5,74,4009,30,4039,2011
59279,Halluin,31,59,5,61,20620,173,20793,2011
59280,Hamel,31,59,3,1,781,10,791,2011
59281,Hantay,31,59,5,7,1103,16,1119,2011
59282,Hardifort,31,59,4,16,381,7,388,2011
59283,Hargnies,31,59,1,10,586,14,600,2011
59284,Hasnon,31,59,6,55,3818,27,3845,2011
59285,Haspres,31,59,6,11,2800,30,2830,2011
59286,Haubourdin,31,59,5,28,14367,123,14490,2011
59287,Haucourt-en-Cambrésis,31,59,2,18,212,6,218,2011
59288,Haulchin,31,59,6,67,2346,31,2377,2011
59289,Haussy,31,59,2,58,1549,66,1615,2011
59290,Haut-Lieu,31,59,1,4,391,5,396,2011
59291,Hautmont,31,59,1,69,14115,114,14229,2011
59292,Haveluy,31,59,6,21,3055,27,3082,2011
59293,Haverskerque,31,59,4,46,1490,20,1510,2011
59294,Haynecourt,31,59,2,14,595,7,602,2011
59295,Hazebrouck,31,59,4,91,21741,496,22237,2011
59296,Hecq,31,59,1,49,354,10,364,2011
59297,Hélesmes,31,59,6,21,1945,25,1970,2011
59299,Hem,31,59,5,33,17988,164,18152,2011
59300,Hem-Lenglet,31,59,2,14,583,9,592,2011
59301,Hergnies,31,59,6,19,4305,30,4335,2011
59302,Hérin,31,59,6,67,3947,29,3976,2011
59303,Herlies,31,59,5,7,2180,39,2219,2011
59304,Herrin,31,59,5,57,397,14,411,2011
59305,Herzeele,31,59,4,68,1557,43,1600,2011
59306,Hestrud,31,59,1,59,300,7,307,2011
59307,Holque,31,59,4,12,920,11,931,2011
59310,Hon-Hergies,31,59,1,8,820,13,833,2011
59308,Hondeghem,31,59,4,29,945,22,967,2011
59309,Hondschoote,31,59,4,31,4091,117,4208,2011
59311,Honnechy,31,59,2,17,531,8,539,2011
59312,Honnecourt-sur-Escaut,31,59,2,43,754,13,767,2011
59313,Hordain,31,59,6,11,1466,9,1475,2011
59314,Hornaing,31,59,3,42,3521,38,3559,2011
59315,Houdain-lez-Bavay,31,59,1,8,883,14,897,2011
59316,Houplin-Ancoisne,31,59,5,78,3447,38,3485,2011
59317,Houplines,31,59,5,2,7712,132,7844,2011
59318,Houtkerque,31,59,4,60,997,9,1006,2011
59319,Hoymille,31,59,4,9,3197,196,3393,2011
59320,Illies,31,59,5,7,1414,24,1438,2011
59321,Inchy,31,59,2,17,732,8,740,2011
59322,Iwuy,31,59,2,13,3201,40,3241,2011
59323,Jenlain,31,59,1,50,1074,22,1096,2011
59324,Jeumont,31,59,1,44,9703,152,9855,2011
59325,Jolimetz,31,59,1,49,875,24,899,2011
59326,Killem,31,59,4,31,980,25,1005,2011
59327,Lallaing,31,59,3,22,6496,35,6531,2011
59328,Lambersart,31,59,5,38,28581,340,28921,2011
59329,Lambres-lez-Douai,31,59,3,23,5065,104,5169,2011
59330,Landas,31,59,3,47,2383,39,2422,2011
59331,Landrecies,31,59,1,32,3556,100,3656,2011
59332,Lannoy,31,59,5,33,1793,8,1801,2011
59333,Larouillies,31,59,1,4,268,1,269,2011
59334,Lauwin-Planque,31,59,3,23,1796,20,1816,2011
59335,Lecelles,31,59,6,56,2651,44,2695,2011
59336,Lécluse,31,59,3,1,1402,12,1414,2011
59337,Lederzeele,31,59,4,68,584,10,594,2011
59338,Ledringhem,31,59,4,68,679,22,701,2011
59339,Leers,31,59,5,33,9343,63,9406,2011
59340,Leffrinckoucke,31,59,4,25,4446,144,4590,2011
59341,Lesdain,31,59,2,43,427,9,436,2011
59343,Lesquin,31,59,5,78,6383,49,6432,2011
59344,Leval,31,59,1,10,2379,15,2394,2011
59345,Lewarde,31,59,3,24,2716,41,2757,2011
59342,Lez-Fontaine,31,59,1,59,223,5,228,2011
59346,Lezennes,31,59,5,40,3098,24,3122,2011
59347,Liessies,31,59,1,59,548,9,557,2011
59348,Lieu-Saint-Amand,31,59,6,11,1269,15,1284,2011
59349,Ligny-en-Cambrésis,31,59,2,18,1825,50,1875,2011
59350,Lille,31,59,5,92,227533,6500,234033,2011
59351,Limont-Fontaine,31,59,1,69,581,7,588,2011
59352,Linselles,31,59,5,61,8181,115,8296,2011
59353,Locquignol,31,59,1,49,354,4,358,2011
59354,Loffre,31,59,3,24,752,15,767,2011
59356,Lompret,31,59,5,51,2315,56,2371,2011
59357,La Longueville,31,59,1,8,2160,26,2186,2011
59358,Looberghe,31,59,4,12,1177,28,1205,2011
59359,Loon-Plage,31,59,4,27,6297,90,6387,2011
59360,Loos,31,59,5,28,20819,505,21324,2011
59361,Lourches,31,59,6,11,3886,25,3911,2011
59363,Louvignies-Quesnoy,31,59,1,49,953,9,962,2011
59364,Louvil,31,59,5,20,857,21,878,2011
59365,Louvroil,31,59,1,45,6700,54,6754,2011
59366,Lynde,31,59,4,29,695,9,704,2011
59367,Lys-lez-Lannoy,31,59,5,33,13378,122,13500,2011
59368,La Madeleine,31,59,5,36,22221,285,22506,2011
59369,Maing,31,59,6,67,4010,46,4056,2011
59370,Mairieux,31,59,1,44,786,18,804,2011
59371,Le Maisnil,31,59,5,74,618,21,639,2011
59372,Malincourt,31,59,2,18,511,7,518,2011
59374,Marbaix,31,59,1,4,475,11,486,2011
59375,Marchiennes,31,59,3,42,4729,69,4798,2011
59377,Marcoing,31,59,2,43,1839,25,1864,2011
59378,Marcq-en-Baroeul,31,59,5,70,39591,889,40480,2011
59379,Marcq-en-Ostrevent,31,59,3,1,625,7,632,2011
59381,Maresches,31,59,1,50,892,20,912,2011
59382,Maretz,31,59,2,18,1481,14,1495,2011
59383,Marly,31,59,6,65,11646,91,11737,2011
59384,Maroilles,31,59,1,32,1442,19,1461,2011
59385,Marpent,31,59,1,44,2702,37,2739,2011
59387,Marquette-en-Ostrevant,31,59,6,11,1732,18,1750,2011
59386,Marquette-lez-Lille,31,59,5,38,10029,75,10104,2011
