code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59249,249,Fourmies,11456,11632,2016
59250,250,Fournes-en-Weppes,2190,2297,2016
59251,251,Frasnoy,379,383,2016
59252,252,Frelinghien,2581,2604,2016
59253,253,Fresnes-sur-Escaut,7486,7527,2016
59254,254,Fressain,893,905,2016
59255,255,Fressies,572,577,2016
59256,256,Fretin,3227,3261,2016
59257,257,Fromelles,1076,1090,2016
59258,258,Genech,2825,3465,2016
59259,259,Ghissignies,498,518,2016
59260,260,Ghyvelde,4119,4180,2016
59261,261,Glageon,1739,1769,2016
59262,262,Godewaersvelde,2053,2081,2016
59264,264,Gognies-Chaussée,727,738,2016
59265,265,Gommegnies,2300,2337,2016
59266,266,Gondecourt,4050,4098,2016
59267,267,Gonnelieu,289,296,2016
59268,268,La Gorgue,5599,5651,2016
59269,269,Gouzeaucourt,1454,1479,2016
59270,270,Grand-Fayt,475,482,2016
59272,272,Grand-Fort-Philippe,4977,5026,2016
59271,271,Grande-Synthe,20331,20528,2016
59273,273,Gravelines,11223,11393,2016
59274,274,La Groise,475,479,2016
59275,275,Gruson,1237,1272,2016
59276,276,Guesnain,4656,4684,2016
59277,277,Gussignies,347,350,2016
59263,263,Gœulzin,1042,1068,2016
59278,278,Hallennes-lez-Haubourdin,4718,4756,2016
59279,279,Halluin,20829,20964,2016
59280,280,Hamel,775,783,2016
59281,281,Hantay,1259,1271,2016
59282,282,Hardifort,395,404,2016
59283,283,Hargnies,626,636,2016
59284,284,Hasnon,3874,3912,2016
59285,285,Haspres,2642,2660,2016
59286,286,Haubourdin,14757,14864,2016
59287,287,Haucourt-en-Cambrésis,191,195,2016
59288,288,Haulchin,2320,2346,2016
59289,289,Haussy,1492,1540,2016
59290,290,Haut-Lieu,386,387,2016
59291,291,Hautmont,14182,14256,2016
59292,292,Haveluy,3250,3262,2016
59293,293,Haverskerque,1401,1419,2016
59294,294,Haynecourt,307,314,2016
59295,295,Hazebrouck,21498,21899,2016
59296,296,Hecq,351,361,2016
59297,297,Hélesmes,1921,1940,2016
59299,299,Hem,18713,18869,2016
59300,300,Hem-Lenglet,549,558,2016
59301,301,Hergnies,4463,4496,2016
59302,302,Hérin,4129,4157,2016
59303,303,Herlies,2323,2352,2016
59304,304,Herrin,423,431,2016
59305,305,Herzeele,1634,1669,2016
59306,306,Hestrud,296,299,2016
59307,307,Holque,871,873,2016
59310,310,Hon-Hergies,866,876,2016
59308,308,Hondeghem,913,936,2016
59309,309,Hondschoote,4026,4107,2016
59311,311,Honnechy,576,582,2016
59312,312,Honnecourt-sur-Escaut,734,751,2016
59313,313,Hordain,1440,1456,2016
59314,314,Hornaing,3535,3568,2016
59315,315,Houdain-lez-Bavay,901,913,2016
59316,316,Houplin-Ancoisne,3275,3324,2016
59317,317,Houplines,7897,7990,2016
59318,318,Houtkerque,985,994,2016
59319,319,Hoymille,3173,3375,2016
59320,320,Illies,1664,1680,2016
59321,321,Inchy,635,639,2016
59322,322,Iwuy,3343,3374,2016
59323,323,Jenlain,1159,1185,2016
59324,324,Jeumont,10342,10433,2016
59325,325,Jolimetz,858,872,2016
59326,326,Killem,1181,1202,2016
59327,327,Lallaing,6250,6286,2016
59328,328,Lambersart,27121,27563,2016
59329,329,Lambres-lez-Douai,4926,5011,2016
59330,330,Landas,2447,2488,2016
59331,331,Landrecies,3435,3518,2016
59332,332,Lannoy,1800,1808,2016
59333,333,Larouillies,248,258,2016
59334,334,Lauwin-Planque,1582,1604,2016
59335,335,Lecelles,3004,3065,2016
59336,336,Lécluse,1361,1376,2016
59337,337,Lederzeele,692,712,2016
59338,338,Ledringhem,629,648,2016
59339,339,Leers,9588,9668,2016
59340,340,Leffrinckoucke,4124,4221,2016
59341,341,Lesdain,442,448,2016
59343,343,Lesquin,9241,9328,2016
59344,344,Leval,2491,2503,2016
59345,345,Lewarde,2403,2428,2016
59342,342,Lez-Fontaine,227,233,2016
59346,346,Lezennes,3019,3038,2016
59347,347,Liessies,531,547,2016
59348,348,Lieu-Saint-Amand,1461,1476,2016
59349,349,Ligny-en-Cambrésis,1901,1921,2016
59350,350,Lille,236710,238542,2016
59351,351,Limont-Fontaine,539,546,2016
59352,352,Linselles,8192,8282,2016
59353,353,Locquignol,299,305,2016
59354,354,Loffre,714,727,2016
59356,356,Lompret,2182,2227,2016
59357,357,La Longueville,2065,2092,2016
59358,358,Looberghe,1206,1219,2016
59359,359,Loon-Plage,6039,6108,2016
59360,360,Loos,23013,23271,2016
59361,361,Lourches,3814,3837,2016
59363,363,Louvignies-Quesnoy,912,929,2016
59364,364,Louvil,895,907,2016
59365,365,Louvroil,6357,6397,2016
59366,366,Lynde,778,793,2016
59367,367,Lys-lez-Lannoy,13793,13929,2016
59368,368,La Madeleine,22488,22665,2016
59369,369,Maing,4004,4054,2016
59370,370,Mairieux,699,710,2016
59371,371,Le Maisnil,628,643,2016
59372,372,Malincourt,476,482,2016
59374,374,Marbaix,469,473,2016
59375,375,Marchiennes,4539,4600,2016
59377,377,Marcoing,1888,1914,2016
59378,378,Marcq-en-Barœul,39356,40044,2016
59379,379,Marcq-en-Ostrevent,762,765,2016
59381,381,Maresches,808,828,2016
59382,382,Maretz,1417,1430,2016
59383,383,Marly,12024,12146,2016
59384,384,Maroilles,1441,1463,2016
59385,385,Marpent,2654,2676,2016
59387,387,Marquette-en-Ostrevant,1931,1943,2016
59386,386,Marquette-lez-Lille,11213,11277,2016
59388,388,Marquillies,1982,2005,2016
59389,389,Masnières,2772,2801,2016
59390,390,Masny,4056,4083,2016
59391,391,Mastaing,889,894,2016
59392,392,Maubeuge,29066,29344,2016
59393,393,Maulde,981,994,2016
59394,394,Maurois,406,408,2016
59395,395,Mazinghien,288,293,2016
59396,396,Mecquignies,705,716,2016
59397,397,Merckeghem,614,626,2016
59398,398,Mérignies,3360,3499,2016
59399,399,Merris,1049,1081,2016
59400,400,Merville,9652,9740,2016
59401,401,Méteren,2256,2287,2016
59402,402,Millam,848,868,2016
59403,403,Millonfosse,711,718,2016
59406,406,Monceau-Saint-Waast,429,435,2016
59407,407,Monchaux-sur-Écaillon,561,570,2016
59408,408,Moncheaux,1703,1729,2016
59409,409,Monchecourt,2501,2520,2016
59410,410,Mons-en-Barœul,21467,21600,2016
59411,411,Mons-en-Pévèle,2089,2127,2016
59412,412,Montay,274,277,2016
59413,413,Montigny-en-Cambrésis,554,561,2016
59414,414,Montigny-en-Ostrevent,4681,4735,2016
59415,415,Montrécourt,225,227,2016
59416,416,Morbecque,2509,2551,2016
59418,418,Mortagne-du-Nord,1584,1591,2016
59419,419,Mouchin,1441,1462,2016
59420,420,Moustier-en-Fagne,60,62,2016
59421,421,Mouvaux,13173,13362,2016
59405,405,Mœuvres,489,492,2016
59422,422,Naves,626,638,2016
59423,423,Neuf-Berquin,1403,1424,2016
59424,424,Neuf-Mesnil,1305,1311,2016
59427,427,La Neuville,620,632,2016
59425,425,Neuville-en-Avesnois,302,310,2016
59426,426,Neuville-en-Ferrain,10160,10228,2016
59428,428,Neuville-Saint-Rémy,3912,3951,2016
59429,429,Neuville-sur-Escaut,2757,2771,2016
59430,430,Neuvilly,1093,1104,2016
59431,431,Nieppe,7606,7686,2016
59432,432,Niergnies,512,519,2016
59433,433,Nieurlet,903,915,2016
59434,434,Nivelle,1379,1397,2016
59435,435,Nomain,2585,2621,2016
59436,436,Noordpeene,800,813,2016
59437,437,Noyelles-lès-Seclin,845,860,2016
59438,438,Noyelles-sur-Escaut,814,832,2016
59439,439,Noyelles-sur-Sambre,278,284,2016
59440,440,Noyelles-sur-Selle,673,684,2016
59441,441,Obies,649,655,2016
59442,442,Obrechies,273,279,2016
59443,443,Ochtezeele,375,376,2016
59444,444,Odomez,927,936,2016
59445,445,Ohain,1188,1206,2016
59446,446,Oisy,690,698,2016
59447,447,Onnaing,8719,8785,2016
59448,448,Oost-Cappel,472,477,2016
59449,449,Orchies,8455,8596,2016
59450,450,Ors,638,646,2016
59451,451,Orsinval,558,568,2016
59452,452,Ostricourt,5829,5859,2016
59453,453,Oudezeele,684,698,2016
59454,454,Oxelaëre,528,533,2016
59455,455,Paillencourt,1015,1028,2016
59456,456,Pecquencourt,6232,6498,2016
59457,457,Pérenchies,8519,8582,2016
59458,458,Péronne-en-Mélantois,1004,1026,2016
59461,461,Petit-Fayt,294,300,2016
59459,459,Petite-Forêt,5058,5097,2016
59462,462,Phalempin,4849,4899,2016
59463,463,Pitgam,976,988,2016
59464,464,Poix-du-Nord,2185,2198,2016
59465,465,Pommereuil,792,795,2016
59466,466,Pont-à-Marcq,2883,2971,2016
59467,467,Pont-sur-Sambre,2410,2437,2016
59468,468,Potelle,441,446,2016
59469,469,Pradelles,410,420,2016
59470,470,Prémesques,2060,2091,2016
59471,471,Préseau,2065,2086,2016
59472,472,Preux-au-Bois,838,846,2016
59473,473,Preux-au-Sart,304,309,2016
59474,474,Prisches,1043,1063,2016
59475,475,Prouvy,2173,2192,2016
59476,476,Proville,3128,3182,2016
59477,477,Provin,4469,4512,2016
59478,478,Quaëdypre,1121,1147,2016
59479,479,Quarouble,3131,3159,2016
59480,480,Quérénaing,861,871,2016
59481,481,Le Quesnoy,4852,4970,2016
59482,482,Quesnoy-sur-Deûle,6920,6979,2016
59483,483,Quiévelon,137,139,2016
59484,484,Quiévrechain,6208,6251,2016
59485,485,Quiévy,1801,1821,2016
59486,486,Râches,2660,2702,2016
59487,487,Radinghem-en-Weppes,1393,1413,2016
59488,488,Raillencourt-Sainte-Olle,2128,2167,2016
59489,489,Raimbeaucourt,4015,4070,2016
59490,490,Rainsars,188,189,2016
59491,491,Raismes,12055,12108,2016
59492,492,Ramillies,596,603,2016
59493,493,Ramousies,227,228,2016
59494,494,Raucourt-au-Bois,154,155,2016
59495,495,Recquignies,2420,2436,2016
59496,496,Rejet-de-Beaulieu,232,234,2016
59497,497,Renescure,2128,2157,2016
59498,498,Reumont,343,353,2016
59499,499,Rexpoëde,1992,2022,2016
59500,500,Ribécourt-la-Tour,376,381,2016
59501,501,Rieulay,1243,1268,2016
59502,502,Rieux-en-Cambrésis,1438,1448,2016
59503,503,Robersart,204,206,2016
59505,505,Rombies-et-Marchipont,750,757,2016
59506,506,Romeries,476,483,2016
59507,507,Ronchin,19437,19573,2016
59508,508,Roncq,13784,13897,2016
59509,509,Roost-Warendin,5976,6027,2016
59511,511,Rosult,1973,2008,2016
59512,512,Roubaix,98892,99314,2016
59513,513,Roucourt,457,463,2016
59514,514,Rousies,4043,4095,2016
59515,515,Rouvignies,657,663,2016
59516,516,Rubrouck,919,941,2016
59517,517,Les Rues-des-Vignes,748,762,2016
59518,518,Ruesnes,455,461,2016
59519,519,Rumegies,1740,1773,2016
59520,520,Rumilly-en-Cambrésis,1429,1455,2016
59504,504,Rœulx,3779,3796,2016
59521,521,Sailly-lez-Cambrai,422,430,2016
59522,522,Sailly-lez-Lannoy,1949,1988,2016
59523,523,Sainghin-en-Mélantois,2848,2886,2016
59524,524,Sainghin-en-Weppes,5641,5693,2016
59525,525,Sains-du-Nord,2779,2805,2016
59526,526,Saint-Amand-les-Eaux,15980,16160,2016
59527,527,Saint-André-lez-Lille,12942,13053,2016
59528,528,Saint-Aubert,1561,1578,2016
59529,529,Saint-Aubin,347,355,2016
59530,530,Saint-Aybert,332,333,2016
59531,531,Saint-Benin,339,344,2016
59532,532,Saint-Georges-sur-l'Aa,296,299,2016
59533,533,Saint-Hilaire-lez-Cambrai,1555,1572,2016
59534,534,Saint-Hilaire-sur-Helpe,800,823,2016
59535,535,Saint-Jans-Cappel,1642,1689,2016
59537,537,Saint-Martin-sur-Écaillon,500,509,2016
59538,538,Saint-Momelin,418,429,2016
59539,539,Saint-Pierre-Brouck,984,1000,2016
59541,541,Saint-Python,999,1007,2016
59542,542,Saint-Remy-Chaussée,486,494,2016
59543,543,Saint-Remy-du-Nord,1070,1081,2016
59544,544,Saint-Saulve,11117,11268,2016
59545,545,Saint-Souplet,1203,1228,2016
59546,546,Saint-Sylvestre-Cappel,1154,1184,2016
59547,547,Saint-Vaast-en-Cambrésis,860,868,2016
59548,548,Saint-Waast,658,668,2016
59536,536,Sainte-Marie-Cappel,857,882,2016
59549,549,Salesches,329,332,2016
59550,550,Salomé,3051,3083,2016
59551,551,Saméon,1738,1762,2016
59552,552,Sancourt,194,200,2016
59553,553,Santes,5660,5720,2016
59554,554,Sars-et-Rosières,617,632,2016
59555,555,Sars-Poteries,1420,1434,2016
59556,556,Sassegnies,260,263,2016
59557,557,Saultain,2553,2584,2016
59558,558,Saulzoir,1679,1697,2016
59559,559,Sebourg,1977,2019,2016
59560,560,Seclin,12834,12928,2016
59562,562,Sémeries,533,540,2016
59563,563,Semousies,232,238,2016
59564,564,La Sentinelle,3143,3159,2016
59565,565,Sepmeries,649,660,2016
59566,566,Sequedin,4762,4800,2016
59567,567,Séranvillers-Forenville,415,421,2016
59568,568,Sercus,484,492,2016
59569,569,Sin-le-Noble,15603,15705,2016
59570,570,Socx,890,908,2016
59571,571,Solesmes,4249,4351,2016
59572,572,Solre-le-Château,1776,1796,2016
59573,573,Solrinnes,143,146,2016
59574,574,Somain,11790,11881,2016
59575,575,Sommaing,398,402,2016
59576,576,Spycker,1752,1788,2016
59577,577,Staple,693,697,2016
59578,578,Steenbecque,1650,1679,2016
59579,579,Steene,1365,1390,2016
59580,580,Steenvoorde,4324,4394,2016
59581,581,Steenwerck,3540,3596,2016
59582,582,Strazeele,946,968,2016
59583,583,Taisnières-en-Thiérache,476,480,2016
59584,584,Taisnières-sur-Hon,962,974,2016
59585,585,Templemars,3635,3671,2016
59586,586,Templeuve-en-Pévèle,6705,6803,2016
59587,587,Terdeghem,518,530,2016
59588,588,Téteghem-Coudekerque-Village,8384,8608,2016
59589,589,Thiant,3011,3036,2016
59590,590,Thiennes,916,931,2016
59591,591,Thivencelle,824,830,2016
59592,592,Thumeries,4029,4078,2016
59593,593,Thun-l'Évêque,767,777,2016
59594,594,Thun-Saint-Amand,1110,1123,2016
59595,595,Thun-Saint-Martin,541,554,2016
59597,597,Tilloy-lez-Cambrai,696,719,2016
59596,596,Tilloy-lez-Marchiennes,528,549,2016
59598,598,Toufflers,3910,3945,2016
59599,599,Tourcoing,99011,99679,2016
59600,600,Tourmignies,947,963,2016
59601,601,Trélon,2679,2746,2016
59602,602,Tressin,1395,1434,2016
59603,603,Trith-Saint-Léger,6124,6210,2016
59604,604,Troisvilles,809,817,2016
59605,605,Uxem,1497,1525,2016
59606,606,Valenciennes,42991,43467,2016
59607,607,Vendegies-au-Bois,484,489,2016
59608,608,Vendegies-sur-Écaillon,1118,1140,2016
59609,609,Vendeville,1546,1568,2016
59610,610,Verchain-Maugré,1102,1111,2016
59611,611,Verlinghem,2673,2732,2016
59612,612,Vertain,513,522,2016
59613,613,Vicq,1473,1487,2016
59614,614,Viesly,1379,1396,2016
59615,615,Vieux-Berquin,2649,2693,2016
59616,616,Vieux-Condé,10446,10504,2016
59617,617,Vieux-Mesnil,637,644,2016
59618,618,Vieux-Reng,907,913,2016
59009,009,Villeneuve-d'Ascq,62067,62700,2016
59619,619,Villereau,1057,1072,2016
