code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59211,211,Esquerchin,901,921,2021
59212,212,Estaires,6496,6619,2021
59213,213,Estourmel,455,471,2021
59214,214,Estrées,1116,1140,2021
59215,215,Estreux,952,985,2021
59219,219,Estrun,719,727,2021
59216,216,Eswars,356,362,2021
59217,217,Eth,341,345,2021
59218,218,Étrœungt,1273,1288,2021
59220,220,Faches-Thumesnil,18110,18227,2021
59221,221,Famars,2475,2543,2021
59222,222,Faumont,2251,2297,2021
59223,223,Le Favril,503,506,2021
59224,224,Féchain,1658,1671,2021
59225,225,Feignies,6752,6820,2021
59226,226,Felleries,1455,1469,2021
59227,227,Fenain,5529,5577,2021
59228,228,Férin,1447,1469,2021
59229,229,Féron,527,546,2021
59230,230,Ferrière-la-Grande,5202,5254,2021
59231,231,Ferrière-la-Petite,1062,1066,2021
59232,232,La Flamengrie,435,443,2021
59233,233,Flaumont-Waudrechies,351,354,2021
59234,234,Flers-en-Escrebieux,5642,5681,2021
59236,236,Flesquières,263,267,2021
59237,237,Flêtre,969,984,2021
59238,238,Flines-lès-Mortagne,1649,1666,2021
59239,239,Flines-lez-Raches,5610,5701,2021
59240,240,Floursies,127,130,2021
59241,241,Floyon,512,526,2021
59242,242,Fontaine-au-Bois,695,702,2021
59243,243,Fontaine-au-Pire,1213,1225,2021
59244,244,Fontaine-Notre-Dame,1763,1794,2021
59246,246,Forest-en-Cambrésis,566,573,2021
59247,247,Forest-sur-Marque,1659,1682,2021
59249,249,Fourmies,11456,11632,2021
59250,250,Fournes-en-Weppes,2190,2297,2021
59251,251,Frasnoy,379,383,2021
59252,252,Frelinghien,2581,2604,2021
59253,253,Fresnes-sur-Escaut,7486,7527,2021
59254,254,Fressain,893,905,2021
59255,255,Fressies,572,577,2021
59256,256,Fretin,3227,3261,2021
59257,257,Fromelles,1076,1090,2021
59258,258,Genech,2825,3465,2021
59259,259,Ghissignies,498,518,2021
59260,260,Ghyvelde,4119,4180,2021
59261,261,Glageon,1739,1769,2021
59262,262,Godewaersvelde,2053,2081,2021
59264,264,Gognies-Chaussée,727,738,2021
59265,265,Gommegnies,2300,2337,2021
59266,266,Gondecourt,4050,4098,2021
59267,267,Gonnelieu,289,296,2021
59268,268,La Gorgue,5599,5651,2021
59269,269,Gouzeaucourt,1454,1479,2021
59270,270,Grand-Fayt,475,482,2021
59272,272,Grand-Fort-Philippe,4977,5026,2021
59271,271,Grande-Synthe,20331,20528,2021
59273,273,Gravelines,11223,11393,2021
59274,274,La Groise,475,479,2021
59275,275,Gruson,1237,1272,2021
59276,276,Guesnain,4656,4684,2021
59277,277,Gussignies,347,350,2021
59263,263,Gœulzin,1042,1068,2021
59278,278,Hallennes-lez-Haubourdin,4718,4756,2021
59279,279,Halluin,20829,20964,2021
59280,280,Hamel,775,783,2021
59281,281,Hantay,1259,1271,2021
59282,282,Hardifort,395,404,2021
59283,283,Hargnies,626,636,2021
59284,284,Hasnon,3874,3912,2021
59285,285,Haspres,2642,2660,2021
59286,286,Haubourdin,14757,14864,2021
59287,287,Haucourt-en-Cambrésis,191,195,2021
59288,288,Haulchin,2320,2346,2021
59289,289,Haussy,1492,1540,2021
59290,290,Haut-Lieu,386,387,2021
59291,291,Hautmont,14182,14256,2021
59292,292,Haveluy,3250,3262,2021
59293,293,Haverskerque,1401,1419,2021
59294,294,Haynecourt,307,314,2021
59295,295,Hazebrouck,21498,21899,2021
59296,296,Hecq,351,361,2021
59297,297,Hélesmes,1921,1940,2021
59299,299,Hem,18713,18869,2021
59300,300,Hem-Lenglet,549,558,2021
59301,301,Hergnies,4463,4496,2021
59302,302,Hérin,4129,4157,2021
59303,303,Herlies,2323,2352,2021
59304,304,Herrin,423,431,2021
59305,305,Herzeele,1634,1669,2021
59306,306,Hestrud,296,299,2021
59307,307,Holque,871,873,2021
59310,310,Hon-Hergies,866,876,2021
59308,308,Hondeghem,913,936,2021
59309,309,Hondschoote,4026,4107,2021
59311,311,Honnechy,576,582,2021
59312,312,Honnecourt-sur-Escaut,734,751,2021
59313,313,Hordain,1440,1456,2021
59314,314,Hornaing,3535,3568,2021
59315,315,Houdain-lez-Bavay,901,913,2021
59316,316,Houplin-Ancoisne,3275,3324,2021
59317,317,Houplines,7897,7990,2021
59318,318,Houtkerque,985,994,2021
59319,319,Hoymille,3173,3375,2021
59320,320,Illies,1664,1680,2021
59321,321,Inchy,635,639,2021
59322,322,Iwuy,3343,3374,2021
59323,323,Jenlain,1159,1185,2021
59324,324,Jeumont,10342,10433,2021
59325,325,Jolimetz,858,872,2021
59326,326,Killem,1181,1202,2021
59327,327,Lallaing,6250,6286,2021
59328,328,Lambersart,27121,27563,2021
59329,329,Lambres-lez-Douai,4926,5011,2021
59330,330,Landas,2447,2488,2021
59331,331,Landrecies,3435,3518,2021
59332,332,Lannoy,1800,1808,2021
59333,333,Larouillies,248,258,2021
59334,334,Lauwin-Planque,1582,1604,2021
59335,335,Lecelles,3004,3065,2021
59336,336,Lécluse,1361,1376,2021
59337,337,Lederzeele,692,712,2021
59338,338,Ledringhem,629,648,2021
59339,339,Leers,9588,9668,2021
59340,340,Leffrinckoucke,4124,4221,2021
59341,341,Lesdain,442,448,2021
59343,343,Lesquin,9241,9328,2021
59344,344,Leval,2491,2503,2021
59345,345,Lewarde,2403,2428,2021
59342,342,Lez-Fontaine,227,233,2021
59346,346,Lezennes,3019,3038,2021
59347,347,Liessies,531,547,2021
59348,348,Lieu-Saint-Amand,1461,1476,2021
59349,349,Ligny-en-Cambrésis,1901,1921,2021
59350,350,Lille,236710,238542,2021
59351,351,Limont-Fontaine,539,546,2021
59352,352,Linselles,8192,8282,2021
59353,353,Locquignol,299,305,2021
59354,354,Loffre,714,727,2021
59356,356,Lompret,2182,2227,2021
59357,357,La Longueville,2065,2092,2021
59358,358,Looberghe,1206,1219,2021
59359,359,Loon-Plage,6039,6108,2021
59360,360,Loos,23013,23271,2021
59361,361,Lourches,3814,3837,2021
59363,363,Louvignies-Quesnoy,912,929,2021
59364,364,Louvil,895,907,2021
59365,365,Louvroil,6357,6397,2021
59366,366,Lynde,778,793,2021
59367,367,Lys-lez-Lannoy,13793,13929,2021
59368,368,La Madeleine,22488,22665,2021
59369,369,Maing,4004,4054,2021
59370,370,Mairieux,699,710,2021
59371,371,Le Maisnil,628,643,2021
59372,372,Malincourt,476,482,2021
59374,374,Marbaix,469,473,2021
59375,375,Marchiennes,4539,4600,2021
59377,377,Marcoing,1888,1914,2021
59378,378,Marcq-en-Barœul,39356,40044,2021
59379,379,Marcq-en-Ostrevent,762,765,2021
59381,381,Maresches,808,828,2021
59382,382,Maretz,1417,1430,2021
59383,383,Marly,12024,12146,2021
59384,384,Maroilles,1441,1463,2021
59385,385,Marpent,2654,2676,2021
59387,387,Marquette-en-Ostrevant,1931,1943,2021
59386,386,Marquette-lez-Lille,11213,11277,2021
59388,388,Marquillies,1982,2005,2021
59389,389,Masnières,2772,2801,2021
59390,390,Masny,4056,4083,2021
59391,391,Mastaing,889,894,2021
59392,392,Maubeuge,29066,29344,2021
59393,393,Maulde,981,994,2021
59394,394,Maurois,406,408,2021
59395,395,Mazinghien,288,293,2021
59396,396,Mecquignies,705,716,2021
59397,397,Merckeghem,614,626,2021
59398,398,Mérignies,3360,3499,2021
59399,399,Merris,1049,1081,2021
59400,400,Merville,9652,9740,2021
59401,401,Méteren,2256,2287,2021
59402,402,Millam,848,868,2021
59403,403,Millonfosse,711,718,2021
59406,406,Monceau-Saint-Waast,429,435,2021
59407,407,Monchaux-sur-Écaillon,561,570,2021
59408,408,Moncheaux,1703,1729,2021
59409,409,Monchecourt,2501,2520,2021
59410,410,Mons-en-Barœul,21467,21600,2021
59411,411,Mons-en-Pévèle,2089,2127,2021
59412,412,Montay,274,277,2021
59413,413,Montigny-en-Cambrésis,554,561,2021
59414,414,Montigny-en-Ostrevent,4681,4735,2021
59415,415,Montrécourt,225,227,2021
59416,416,Morbecque,2509,2551,2021
59418,418,Mortagne-du-Nord,1584,1591,2021
59419,419,Mouchin,1441,1462,2021
59420,420,Moustier-en-Fagne,60,62,2021
59421,421,Mouvaux,13173,13362,2021
59405,405,Mœuvres,489,492,2021
59422,422,Naves,626,638,2021
59423,423,Neuf-Berquin,1403,1424,2021
